datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_09-33-26.976886;242580;-2000.0;21.4375;3.497917;3.5;109.0;0.030273;0.038086;1.018555;-60000;-60000;242705;0;0;0
2024-11-05_09-33-27.142039;242724;-2000.0;21.4375;0.131667;3.497917;104.0;0.030273;0.03418;1.018555;-60000;-60000;242875;0;0;0
2024-11-05_09-33-27.227989;242724;-2000.0;21.4375;0.131667;3.497917;104.0;0.030273;0.03418;1.018555;-60000;-60000;242946;0;0;0
2024-11-05_09-33-27.400153;243029;-2000.0;21.4375;0.490417;3.694584;91.0;0.027344;0.024414;0.991211;20000;20000;243119;1;0;0
2024-11-05_09-33-27.540724;243172;-2000.0;21.4375;0.3325;3.608334;93.0;0.02832;0.036133;1.000977;20000;20000;243256;0;0;0
2024-11-05_09-33-27.682090;243308;-2000.0;21.4375;0.730417;3.5175;96.0;0.030273;0.038086;1.017578;20000;20000;243415;0;0;0
2024-11-05_09-33-27.848107;243452;-2000.0;21.4375;0.119583;3.510417;97.0;0.030273;0.035156;1.022461;20000;20000;243565;0;0;0
2024-11-05_09-33-27.995633;243588;-2000.0;21.4375;0.138333;3.519167;98.0;0.029297;0.036133;1.016602;20000;20000;243724;0;0;0
2024-11-05_09-33-28.168428;243733;-2000.0;21.4375;0.1;3.49625;97.0;0.032227;0.036133;1.030273;20000;20000;243895;0;0;0
2024-11-05_09-33-28.328185;243881;-2000.0;21.5;0.027917;3.495833;96.0;0.032227;0.035156;1.030273;20000;20000;244053;0;0;0
2024-11-05_09-33-28.655291;244163;-2000.0;21.5;0.021667;3.49625;97.0;0.030273;0.036133;1.03418;20000;20000;244341;0;0;0
2024-11-05_09-33-28.781064;244308;-2000.0;21.4375;0.021667;3.49625;95.0;0.03125;0.033203;1.029297;20000;20000;244516;0;0;0
2024-11-05_09-33-29.047415;244593;-2000.0;21.4375;0.021667;3.49625;98.0;0.030273;0.035156;1.024414;20000;20000;244755;0;0;0
2024-11-05_09-33-29.141693;244738;-2000.0;21.4375;0.021667;3.499167;97.0;0.030273;0.03418;1.021484;60000;60000;113;0;0;0
