datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_09-47-51.715723;1105952;146.666748;21.5;0.021667;3.647083;200.0;-0.000977;0.03125;0.049805;-60000;-60000;1106155;0;0;0
2024-11-05_09-47-51.919110;1106238;150.666748;21.5;0.075;3.6475;181.0;-0.003906;0.038086;0.046875;-60000;-60000;1106345;0;0;0
2024-11-05_09-47-52.029138;1106238;150.666748;21.5;0.075;3.6475;181.0;-0.003906;0.038086;0.046875;-60000;-60000;1106455;0;0;0
2024-11-05_09-47-52.190461;1106392;150.666748;21.5;0.13875;3.6475;173.0;-0.00293;0.041992;0.048828;-60000;-60000;1106615;0;0;0
2024-11-05_09-47-52.358043;1106687;153.333252;21.5;0.08125;3.6475;149.0;-0.005859;0.03418;0.047852;-60000;-60000;1106784;0;0;0
2024-11-05_09-47-52.498674;1106831;154.666748;21.5;0.180417;3.657084;141.0;-0.004883;0.032227;0.045898;-60000;-60000;1106925;0;0;0
2024-11-05_09-47-52.639327;1106971;150.666748;21.5;0.06625;3.653334;126.0;-0.004883;0.035156;0.042969;-60000;-60000;1107075;0;0;0
2024-11-05_09-47-52.811949;1107110;150.666748;21.5;0.190833;3.672917;122.0;-0.006836;0.036133;0.035156;-60000;-60000;1107235;0;0;0
2024-11-05_09-47-52.952623;1107251;150.666748;21.5;0.087083;3.65375;114.0;-0.004883;0.035156;0.057617;-60000;-60000;1107384;0;0;0
2024-11-05_09-47-53.141101;1107390;150.666748;21.5;0.075;3.65125;102.0;-0.006836;0.035156;0.053711;-60000;-60000;1107553;0;0;0
2024-11-05_09-47-53.266243;1107531;154.666748;21.5;0.19;3.645417;94.0;-0.007812;0.037109;0.042969;20000;20000;1107695;1;0;0
2024-11-05_09-47-53.423004;1107670;148.0;21.5;0.53375;3.885417;90.0;-0.009766;0.03418;0.041016;20000;20000;1107866;0;0;0
2024-11-05_09-47-53.594879;1107811;156.0;21.5;0.4175;3.88625;93.0;-0.009766;0.033203;0.044922;20000;20000;1108015;0;0;0
2024-11-05_09-47-53.845496;1108093;146.666748;21.5;0.086667;3.644584;91.0;-0.009766;0.03418;0.050781;60000;60000;168;0;0;0
2024-11-05_09-47-53.955172;1108241;-18.666626;21.5;0.115417;3.642083;96.0;-0.009766;0.03418;0.049805;60000;60000;279;0;0;0
2024-11-05_09-47-54.065096;1108378;-18.666626;21.5;0.035;3.642083;105.0;-0.011719;0.032227;0.046875;60000;60000;389;0;0;0
2024-11-05_09-47-54.221311;1108521;-16.0;21.5;0.059167;3.646667;114.0;-0.014648;0.033203;0.035156;60000;60000;539;0;0;0
2024-11-05_09-47-54.393403;1108658;-20.0;21.5;0.12125;3.645417;125.0;-0.009766;0.029297;0.032227;60000;60000;699;0;0;0
2024-11-05_09-47-54.519323;1108800;-18.666626;21.5;0.080833;3.642083;133.0;-0.010742;0.027344;0.030273;60000;60000;849;0;0;0
2024-11-05_09-47-54.659986;1108946;-18.666626;21.5;0.179167;3.654167;145.0;-0.007812;0.026367;0.027344;60000;60000;990;0;0;0
2024-11-05_09-47-54.832301;1109100;-21.333374;21.5;0.092083;3.66125;156.0;-0.008789;0.025391;0.027344;60000;60000;1159;0;0;0
2024-11-05_09-47-54.972960;1109258;-17.333374;21.4375;0.162917;3.642083;168.0;-0.010742;0.024414;0.016602;60000;60000;1293;0;0;0
2024-11-05_09-47-55.129973;1109385;-25.333374;21.5;0.087083;3.645833;176.0;-0.008789;0.019531;0.015625;60000;60000;1459;0;0;0
2024-11-05_09-47-55.302906;1109531;-20.0;21.5;0.138333;3.6425;186.0;-0.006836;0.021484;0.016602;60000;60000;1617;0;0;0
2024-11-05_09-47-55.506333;1109818;-25.333374;21.5;0.137917;3.643333;205.0;-0.010742;0.020508;0.009766;39999;39999;1839;0;2;0
