datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_10-12-51.297414;639807;-178.666626;24.125;0.021667;3.41625;200.0;0.064453;0.020508;0.87793;-60000;-60000;162112;0;0;0
2024-11-05_10-12-51.485458;640107;-133.333374;24.125;0.022917;3.41625;187.0;0.040039;0.025391;0.666992;-60000;-60000;162281;0;0;0
2024-11-05_10-12-51.657785;640248;-108.0;24.125;0.026667;3.41625;172.0;0.029297;0.026367;0.548828;-60000;-60000;162462;0;0;0
2024-11-05_10-12-51.783395;640384;-101.333374;24.125;0.0625;3.416667;163.0;0.020508;0.029297;0.460938;-60000;-60000;162601;0;0;0
2024-11-05_10-12-51.940419;640528;-84.0;24.125;0.081667;3.4225;152.0;0.014648;0.027344;0.396484;-60000;-60000;162753;0;0;0
2024-11-05_10-12-52.133875;640674;-76.0;24.125;0.11875;3.416667;145.0;0.011719;0.026367;0.327148;-60000;-60000;162908;0;0;0
2024-11-05_10-12-52.254463;640817;-66.666626;24.125;0.156667;3.423333;135.0;0.014648;0.023438;0.300781;-60000;-60000;163063;0;0;0
2024-11-05_10-12-52.457587;641096;-57.333374;24.125;0.1475;3.420833;117.0;0.010742;0.024414;0.210938;-60000;-60000;163263;0;0;0
2024-11-05_10-12-52.551529;641096;-57.333374;24.125;0.1475;3.420833;117.0;0.010742;0.024414;0.210938;-60000;-60000;163371;0;0;0
2024-11-05_10-12-52.708227;641238;-50.666626;24.125;0.08375;3.416667;106.0;0.007812;0.025391;0.157227;-60000;-60000;163531;0;0;0
2024-11-05_10-12-52.880066;641526;-45.333374;24.125;0.069167;3.423333;90.0;0.004883;0.020508;0.124023;20000;20000;163683;1;0;0
2024-11-05_10-12-53.036742;641664;-36.0;24.125;0.52375;3.647083;92.0;0.007812;0.022461;0.115234;20000;20000;163843;1;0;0
2024-11-05_10-12-53.302571;641944;-30.666626;24.125;0.12375;3.435834;95.0;0.003906;0.025391;0.075195;20000;20000;164106;0;0;0
2024-11-05_10-12-53.491259;642091;-30.666626;24.125;0.122083;3.416667;93.0;0.000977;0.024414;0.079102;0;0;213;0;0;0
2024-11-05_10-12-53.678760;642226;-25.333374;24.125;0.136667;3.4375;96.0;0.003906;0.027344;0.054688;5000;5000;400;0;0;0
2024-11-05_10-12-53.850677;642381;-25.333374;24.125;0.061667;3.44375;96.0;0.000977;0.025391;0.054688;5000;5000;569;0;0;0
2024-11-05_10-12-53.975947;642526;-25.333374;24.125;0.126667;3.41625;95.0;0.00293;0.027344;0.047852;10000;10000;694;0;0;0
2024-11-05_10-12-54.147796;642667;-30.666626;24.125;0.114167;3.427083;99.0;0.000977;0.026367;0.041016;10000;10000;841;0;0;0
2024-11-05_10-12-54.289149;642816;-25.333374;24.125;0.070833;3.41625;99.0;-0.001953;0.030273;0.033203;15000;15000;1012;0;0;0
2024-11-05_10-12-54.492413;643094;-29.333374;24.125;0.070833;3.4325;103.0;-0.001953;0.027344;0.039062;15000;15000;1187;0;0;0
2024-11-05_10-12-54.633336;643238;-30.666626;24.125;0.072917;3.416667;105.0;-0.003906;0.02832;0.042969;20000;20000;1342;0;0;0
2024-11-05_10-12-54.774003;643387;-34.666626;24.125;0.067917;3.420833;107.0;-0.006836;0.02832;0.045898;20000;20000;1483;0;0;0
2024-11-05_10-12-54.914612;643529;-25.333374;24.125;0.122083;3.42125;111.0;-0.006836;0.027344;0.051758;25000;25000;1623;0;0;0
2024-11-05_10-12-55.071740;643678;-34.666626;24.125;0.115833;3.420833;114.0;-0.00293;0.020508;0.060547;25000;25000;1782;0;0;0
2024-11-05_10-12-55.337603;643964;-34.666626;24.125;0.137083;3.42375;123.0;-0.003906;0.026367;0.064453;30000;30000;2050;0;0;0
2024-11-05_10-12-55.557191;644106;-32.0;24.125;0.137083;3.422084;130.0;-0.005859;0.023438;0.054688;35000;35000;2243;0;0;0
2024-11-05_10-12-55.682893;644244;-32.0;24.125;0.129167;3.425;135.0;-0.003906;0.024414;0.061523;35000;35000;2402;0;0;0
2024-11-05_10-12-55.854811;644389;-30.666626;24.125;0.05375;3.426666;140.0;-0.004883;0.021484;0.053711;40000;40000;2563;0;0;0
2024-11-05_10-12-56.042616;644674;-30.666626;24.125;0.075;3.425;154.0;-0.007812;0.022461;0.047852;40000;40000;2753;0;0;0
2024-11-05_10-12-56.262462;644818;-29.333374;24.125;0.07375;3.412917;158.0;-0.007812;0.022461;0.049805;45000;45000;2983;0;0;0
2024-11-05_10-12-56.497593;645122;-32.0;24.125;0.049167;3.4175;177.0;-0.004883;0.019531;0.038086;50000;50000;3207;0;0;0
2024-11-05_10-12-56.638396;645270;-37.333374;24.125;0.122083;3.412917;183.0;-0.007812;0.016602;0.038086;50000;50000;3343;0;0;0
2024-11-05_10-12-56.832721;645420;-30.666626;24.125;0.332917;3.26875;193.0;-0.005859;0.018555;0.03418;55000;55000;3503;0;0;0
2024-11-05_10-12-56.988093;645564;-41.333374;24.125;0.59625;3.258333;205.0;-0.005859;0.018555;0.03418;55000;55000;3704;0;0;0
2024-11-05_10-12-57.093997;645707;-37.333374;24.125;0.711667;3.256667;209.0;-0.005859;0.017578;0.03125;-100000;-100000;3813;0;0;0
2024-11-05_10-12-57.297891;645857;-34.666626;24.125;0.763333;3.236667;198.0;-0.008789;0.018555;0.023438;-100000;-100000;4012;0;0;0
2024-11-05_10-12-57.407838;646004;4.0;24.125;0.83125;3.23125;181.0;-0.006836;0.020508;0.023438;-100000;-100000;4121;0;0;0
2024-11-05_10-12-57.581017;646148;30.666626;24.125;0.89625;3.227917;164.0;-0.007812;0.018555;0.030273;-100000;-100000;4293;0;0;0
2024-11-05_10-12-57.799770;646434;66.666748;24.125;0.997083;3.2175;131.0;-0.007812;0.020508;0.024414;-100000;-100000;4513;0;0;0
2024-11-05_10-12-57.956417;646578;34.666626;24.125;1.004167;3.215417;114.0;-0.007812;0.022461;0.030273;-100000;-100000;4645;0;0;0
2024-11-05_10-12-58.066494;646578;34.666626;24.125;1.004167;3.215417;114.0;-0.007812;0.022461;0.030273;-100000;-100000;4782;0;0;0
2024-11-05_10-12-58.191658;646727;17.333374;24.125;1.020833;3.215417;98.0;-0.011719;0.024414;0.019531;-100000;-100000;4901;0;0;0
2024-11-05_10-12-58.348433;647006;-18.666626;24.125;1.362917;3.375834;90.0;-0.007812;0.024414;0.018555;20000;20000;5063;1;0;0
2024-11-05_10-12-58.489086;647144;-21.333374;24.125;1.383333;3.21375;90.0;-0.006836;0.021484;0.03125;20000;20000;5205;0;0;0
2024-11-05_10-12-58.645706;647288;-21.333374;24.125;1.02125;3.212084;90.0;-0.009766;0.025391;0.015625;20000;20000;5363;1;0;0
2024-11-05_10-12-58.801954;647434;-22.666626;24.125;1.3275;3.378334;90.0;-0.013672;0.024414;0.019531;20000;20000;5523;0;0;0
2024-11-05_10-12-58.989456;647582;-21.333374;24.125;0.817083;3.213333;92.0;-0.013672;0.02832;0.027344;20000;20000;5692;0;0;0
2024-11-05_10-12-59.193564;647729;-21.333374;24.125;0.731667;3.215417;93.0;-0.011719;0.030273;0.015625;20000;20000;5908;0;0;0
2024-11-05_10-12-59.271652;647866;-25.333374;24.125;0.6125;3.215;94.0;-0.012695;0.029297;0.018555;20000;20000;5987;0;0;0
2024-11-05_10-12-59.474778;648018;-21.333374;24.125;0.519583;3.22;92.0;-0.015625;0.032227;0.018555;20000;20000;6193;0;0;0
2024-11-05_10-12-59.599787;648174;-21.333374;24.125;0.423333;3.215417;92.0;-0.011719;0.029297;0.020508;20000;20000;6303;0;0;0
2024-11-05_10-12-59.772214;648317;-22.666626;24.125;0.2925;3.215417;90.0;-0.010742;0.030273;0.022461;20000;20000;6471;0;0;0
2024-11-05_10-12-59.928421;648467;-22.666626;24.125;0.16125;3.215417;90.0;-0.011719;0.03125;0.018555;20000;20000;6633;0;0;0
2024-11-05_10-13-00.086219;648606;-22.666626;24.125;0.062917;3.215417;92.0;-0.013672;0.030273;0.017578;20000;20000;6803;0;0;0
2024-11-05_10-13-00.352298;648886;-22.666626;24.125;0.021667;3.215417;94.0;-0.013672;0.032227;0.021484;20000;20000;7059;0;0;0
2024-11-05_10-13-00.634317;649168;-22.666626;24.125;0.021667;3.215834;93.0;-0.009766;0.030273;0.032227;20000;20000;7321;0;0;0
2024-11-05_10-13-00.728068;649316;-22.666626;24.125;0.021667;3.217917;95.0;-0.011719;0.02832;0.03418;0;0;20;0;0;0
2024-11-05_10-13-00.899936;649456;-20.0;24.125;0.021667;3.219167;94.0;-0.008789;0.027344;0.037109;0;0;188;0;0;0
2024-11-05_10-13-01.124594;649741;-22.666626;24.125;0.059167;3.220417;91.0;-0.010742;0.02832;0.03125;5000;5000;423;0;2;0
2024-11-05_10-13-01.338822;649887;-22.666626;24.125;0.077083;3.240417;92.0;-0.010742;0.02832;0.032227;10000;10000;628;0;0;0
2024-11-05_10-13-01.793478;650447;-22.666626;24.125;3.225834;3.229167;99.0;-0.011719;0.024414;0.03125;15000;15000;1090;0;0;0
2024-11-05_10-13-01.996688;650574;-22.666626;24.125;0.070833;3.233334;102.0;-0.008789;0.02832;0.033203;20000;20000;1300;0;0;0
2024-11-05_10-13-02.184861;650726;-25.333374;24.1875;0.072917;3.22125;106.0;-0.011719;0.025391;0.027344;20000;20000;1480;0;0;0
2024-11-05_10-13-02.278912;650876;-22.666626;24.125;3.245;3.224583;106.0;-0.011719;0.023438;0.033203;25000;25000;1590;0;0;0
