datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_11-11-40.919522;66643;-2000.0;24.6875;0.021667;4.012917;124.0;-0.019531;0.024414;1.013672;0;0;66834;0;0;0
2024-11-05_11-11-41.250890;66924;-2000.0;24.6875;0.021667;4.012917;122.0;-0.018555;0.02832;1.010742;0;0;67157;0;0;0
2024-11-05_11-11-41.316016;67076;-2000.0;24.6875;0.021667;4.012917;123.0;-0.022461;0.026367;1.011719;0;0;67230;0;0;0
2024-11-05_11-11-41.566774;67379;-2000.0;24.6875;0.021667;4.012917;124.0;-0.013672;0.023438;1.020508;0;0;67490;0;0;0
2024-11-05_11-11-41.629680;67379;-2000.0;24.6875;0.021667;4.012917;124.0;-0.013672;0.023438;1.020508;0;0;67549;0;0;0
2024-11-05_11-11-41.916663;67657;-2000.0;24.6875;0.021667;4.012917;125.0;-0.015625;0.023438;1.03418;0;0;67820;0;0;0
2024-11-05_11-11-42.140482;67942;-2000.0;24.6875;0.021667;4.012917;124.0;-0.018555;0.027344;1.03418;0;0;68041;0;0;0
2024-11-05_11-11-42.433343;68232;-2000.0;24.6875;0.021667;4.012917;124.0;-0.017578;0.018555;1.044922;0;0;68359;0;0;0
2024-11-05_11-11-42.450285;68232;-2000.0;24.6875;0.021667;4.012917;124.0;-0.017578;0.018555;1.044922;0;0;68380;0;0;0
2024-11-05_11-11-42.549889;68375;-2000.0;24.6875;0.021667;4.012084;123.0;-0.019531;0.023438;1.055664;0;0;68480;0;0;0
2024-11-05_11-11-42.925493;68655;-2000.0;24.6875;0.021667;4.009583;125.0;-0.015625;0.017578;1.03418;0;0;68842;0;0;0
2024-11-05_11-11-43.035155;68792;-2000.0;24.6875;0.021667;4.008334;122.0;-0.020508;0.023438;1.03125;0;0;68947;0;0;0
2024-11-05_11-11-43.194169;68935;-2000.0;24.6875;0.021667;4.009167;122.0;-0.019531;0.018555;1.041016;0;0;69109;0;0;0
2024-11-05_11-11-43.318919;69075;-2000.0;24.6875;0.021667;4.0075;124.0;-0.017578;0.025391;1.043945;0;0;69249;0;0;0
2024-11-05_11-11-43.576877;69355;-2000.0;24.6875;0.021667;4.0075;123.0;-0.018555;0.022461;1.033203;0;0;69489;0;0;0
2024-11-05_11-11-43.651430;69494;-2000.0;24.6875;0.02125;4.0075;124.0;-0.019531;0.019531;1.026367;0;0;69570;0;0;0
2024-11-05_11-11-43.853411;69635;-2000.0;24.6875;4.0075;4.0075;122.0;-0.021484;0.024414;1.025391;0;0;69762;0;0;0
2024-11-05_11-11-43.958998;69782;-2000.0;24.6875;0.021667;4.0075;122.0;-0.017578;0.018555;1.012695;0;0;69870;0;0;0
2024-11-05_11-11-44.216974;69930;-2000.0;24.6875;0.021667;4.0075;123.0;-0.017578;0.024414;1.029297;0;0;70105;0;0;0
2024-11-05_11-11-44.434127;70063;-2000.0;24.6875;4.0075;4.0075;123.0;-0.016602;0.018555;1.039062;0;0;70200;0;0;0
2024-11-05_11-11-44.584087;70353;-2000.0;24.6875;0.021667;4.0075;124.0;-0.021484;0.018555;1.03125;0;0;70508;0;0;0
2024-11-05_11-11-44.767124;70491;-2000.0;24.625;0.021667;4.0075;123.0;-0.018555;0.033203;1.023438;0;0;70680;0;0;0
2024-11-05_11-11-45.014831;70785;-2000.0;24.6875;0.021667;4.0075;123.0;-0.024414;0.033203;1.023438;0;0;70929;0;0;0
2024-11-05_11-11-45.171415;70923;-2000.0;24.6875;0.021667;4.0075;122.0;-0.016602;0.032227;1.030273;0;0;71089;0;0;0
2024-11-05_11-11-45.234211;71065;-2000.0;24.6875;0.021667;4.0075;124.0;-0.015625;0.024414;1.048828;0;0;71151;0;0;0
2024-11-05_11-11-45.563322;71345;-2000.0;24.625;0.021667;4.0075;122.0;-0.007812;0.029297;1.067383;0;0;71475;0;0;0
2024-11-05_11-11-45.814017;71625;-2000.0;24.625;0.021667;4.0075;124.0;-0.017578;0.011719;1.116211;0;0;71711;0;0;0
2024-11-05_11-11-45.957084;71762;-2000.0;24.625;0.021667;4.0075;122.0;-0.009766;0.017578;1.124023;0;0;71869;0;0;0
2024-11-05_11-11-46.019872;71762;-2000.0;24.625;0.021667;4.0075;122.0;-0.009766;0.017578;1.124023;0;0;71937;0;0;0
2024-11-05_11-11-46.177297;71906;-2000.0;24.6875;0.021667;4.0075;122.0;-0.013672;0.030273;1.132812;0;0;72078;0;0;0
2024-11-05_11-11-46.334109;72052;-2000.0;24.625;0.021667;4.0075;121.0;-0.012695;0.019531;1.140625;0;0;72248;0;0;0
2024-11-05_11-11-46.537640;72336;-2000.0;24.6875;0.021667;4.0075;123.0;-0.009766;0.025391;1.139648;0;0;72449;0;0;0
2024-11-05_11-11-46.742118;72472;-2000.0;24.625;0.021667;4.0075;122.0;-0.013672;0.025391;1.15332;0;0;72659;0;0;0
2024-11-05_11-11-46.914954;72615;-2000.0;24.625;0.021667;4.0075;125.0;-0.009766;0.021484;1.166992;0;0;72829;0;0;0
2024-11-05_11-11-47.134947;72900;-2000.0;24.625;0.02125;4.0075;125.0;-0.007812;0.023438;1.183594;0;0;73044;0;0;0
2024-11-05_11-11-47.479358;73177;-2000.0;24.6875;0.021667;4.0075;124.0;-0.008789;0.030273;1.168945;0;0;73394;0;0;0
2024-11-05_11-11-47.574746;73322;-2000.0;24.625;0.021667;4.0075;124.0;-0.009766;0.036133;1.148438;0;0;73490;0;0;0
2024-11-05_11-11-47.859648;73609;-2000.0;24.625;0.021667;4.0075;126.0;-0.014648;0.03125;1.125977;0;0;73772;0;0;0
2024-11-05_11-11-48.076142;73905;-2000.0;24.625;0.021667;4.0075;125.0;-0.013672;0.02832;1.102539;0;0;73999;0;0;0
2024-11-05_11-11-48.201132;73905;-2000.0;24.625;0.021667;4.0075;125.0;-0.013672;0.02832;1.102539;0;0;74109;0;0;0
2024-11-05_11-11-48.406022;74192;-2000.0;24.625;0.021667;4.0075;129.0;-0.014648;0.021484;1.057617;0;0;74329;0;0;0
2024-11-05_11-11-48.765651;74472;-2000.0;24.625;0.021667;4.0075;124.0;-0.020508;0.025391;1.014648;0;0;74661;0;0;0
2024-11-05_11-11-48.843778;74615;-2000.0;24.625;0.021667;4.0075;124.0;-0.017578;0.023438;1.016602;0;0;74741;0;0;0
2024-11-05_11-11-49.031947;74754;-2000.0;24.625;0.021667;4.0075;124.0;-0.020508;0.02832;0.988281;0;0;74930;0;0;0
2024-11-05_11-11-49.329444;75032;-2000.0;24.625;0.021667;4.0075;123.0;-0.020508;0.021484;0.960938;0;0;75247;0;0;0
2024-11-05_11-11-49.502070;75312;-2000.0;24.625;0.021667;4.0075;124.0;-0.015625;0.027344;0.953125;0;0;75409;0;0;0
2024-11-05_11-11-49.608106;75312;-2000.0;24.625;0.021667;4.0075;124.0;-0.015625;0.027344;0.953125;0;0;75520;0;0;0
2024-11-05_11-11-49.768350;75456;-2000.0;24.625;0.021667;4.0075;123.0;-0.017578;0.026367;0.943359;0;0;75677;0;0;0
2024-11-05_11-11-49.941073;75742;-2000.0;24.625;0.021667;4.004583;125.0;-0.017578;0.03125;0.969727;0;0;75860;0;0;0
2024-11-05_11-11-50.129807;75888;-2000.0;24.625;0.021667;4.00625;125.0;-0.018555;0.019531;0.955078;0;0;76035;0;0;0
2024-11-05_11-11-50.380951;76175;-2000.0;24.625;0.021667;4.002501;122.0;-0.019531;0.023438;0.979492;0;0;76296;0;0;0
2024-11-05_11-11-50.538067;76313;-2000.0;24.625;0.021667;4.002501;123.0;-0.022461;0.025391;0.950195;0;0;76453;0;0;0
2024-11-05_11-11-50.899536;76718;-2000.0;24.625;0.021667;4.002501;123.0;-0.020508;0.026367;0.983398;0;0;76809;0;0;0
2024-11-05_11-11-51.055580;76865;-2000.0;24.625;4.002083;4.002083;124.0;-0.019531;0.020508;0.974609;0;0;76970;0;0;0
2024-11-05_11-11-51.149332;76865;-2000.0;24.625;4.002083;4.002083;124.0;-0.019531;0.020508;0.974609;0;0;77070;0;0;0
2024-11-05_11-11-51.415924;77156;-2000.0;24.625;0.021667;4.002083;126.0;-0.020508;0.024414;0.982422;0;0;77339;0;0;0
2024-11-05_11-11-51.479370;77292;-2000.0;24.625;0.021667;4.002083;124.0;-0.017578;0.027344;0.993164;0;0;77387;0;0;0
2024-11-05_11-11-51.824165;77585;-2000.0;24.625;0.021667;4.002083;126.0;-0.020508;0.030273;0.994141;0;0;77731;0;0;0
2024-11-05_11-11-51.966790;77723;-2000.0;24.625;0.021667;4.002083;125.0;-0.021484;0.032227;1.001953;0;0;77883;0;0;0
2024-11-05_11-11-52.092449;77866;-2000.0;24.625;0.021667;4.002083;123.0;-0.019531;0.03418;1.021484;0;0;78020;0;0;0
2024-11-05_11-11-52.264991;78002;-2000.0;24.625;0.021667;4.002083;124.0;-0.016602;0.030273;1.019531;0;0;78180;0;0;0
2024-11-05_11-11-52.452498;78147;-2000.0;24.625;0.021667;4.002083;122.0;-0.016602;0.027344;1.036133;0;0;78366;0;0;0
2024-11-05_11-11-52.577870;78292;-2000.0;24.625;0.021667;4.002501;124.0;-0.016602;0.025391;1.040039;0;0;78490;0;0;0
2024-11-05_11-11-52.734257;78574;-2000.0;24.625;0.021667;4.002501;123.0;-0.015625;0.017578;1.064453;0;0;78650;0;0;0
