(482641) PROCEDURE_TASK; INFO: Procedure task started
(482714) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(482715) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(482814) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(483399) CLI; ERROR: Terminal doesn't support escape sequences
(485715) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(485715) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(485780) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(485780) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(485839) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(485839) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(485898) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(485899) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(485959) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(485959) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486019) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486019) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486079) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486079) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486139) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486139) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486200) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486200) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486259) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486259) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486319) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486319) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486379) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486379) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486439) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486439) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486499) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486499) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486560) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486560) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486621) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486621) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486679) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486679) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486739) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486739) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486798) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486798) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(486972) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(486972) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487029) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487029) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487089) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487089) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487149) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487150) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487209) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487209) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487269) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487269) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487329) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487329) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487389) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487389) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487449) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487449) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487510) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487510) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487679) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487679) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487738) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487738) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487801) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487801) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487859) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487859) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487920) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487920) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(487978) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(487978) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488038) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488038) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488099) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488099) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488272) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488272) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488437) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488437) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488499) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488499) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488558) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488558) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488619) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488619) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488678) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488678) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488738) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488738) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488912) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488913) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(488968) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(488968) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489029) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489029) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489089) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489089) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489149) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489149) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489210) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489210) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489269) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489269) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489330) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489330) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489389) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489389) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489676) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489676) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489729) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489729) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489789) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489789) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489850) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489850) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489910) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489910) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(489969) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(489969) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490029) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490029) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490088) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490089) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490264) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490264) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490321) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490321) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490379) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490379) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490439) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490439) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490499) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490499) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490559) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490559) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490732) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490732) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490789) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490789) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(490848) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(490849) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(491022) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(491022) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(491079) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(491079) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(491139) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(491139) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(491199) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
