Time;acc_x;acc_y;acc_z;

2353;-0.033203;0.039062;1.039062;
2503;-0.035156;0.038086;1.039062;
2643;-0.034180;0.037109;1.037109;
2783;-0.034180;0.038086;1.038086;
2923;-0.034180;0.038086;1.038086;
3063;-0.034180;0.038086;1.038086;
3203;-0.035156;0.038086;1.030273;
3344;-0.035156;0.039062;1.038086;
3484;-0.033203;0.039062;1.039062;
3623;-0.035156;0.040039;1.040039;
3763;-0.035156;0.038086;1.039062;
3903;-0.035156;0.038086;1.038086;
4044;-0.035156;0.040039;1.037109;
4183;-0.034180;0.039062;1.040039;
4324;-0.036133;0.038086;1.038086;
4463;-0.035156;0.037109;1.038086;
4604;-0.034180;0.038086;1.040039;
4743;-0.033203;0.040039;1.038086;
4879;-0.035156;0.038086;1.038086;
5009;-0.035156;0.036133;1.038086;
5149;-0.034180;0.039062;1.039062;
5300;-0.034180;0.039062;1.038086;
5440;-0.033203;0.037109;1.039062;
5579;-0.034180;0.038086;1.038086;
5730;-0.033203;0.038086;1.038086;
5869;-0.035156;0.039062;1.040039;
6000;-0.033203;0.039062;1.038086;
6139;-0.035156;0.038086;1.039062;
6279;-0.036133;0.037109;1.039062;
6411;-0.034180;0.037109;1.038086;
6549;-0.035156;0.039062;1.039062;
6680;-0.034180;0.037109;1.038086;
6819;-0.033203;0.040039;1.039062;
6973;-0.034180;0.039062;1.039062;
7114;-0.033203;0.040039;1.038086;
7254;-0.035156;0.038086;1.039062;
7389;-0.035156;0.037109;1.039062;
7519;-0.035156;0.040039;1.040039;
7654;-0.034180;0.039062;1.039062;
7793;-0.033203;0.038086;1.040039;
7933;-0.033203;0.039062;1.039062;
8073;-0.035156;0.038086;1.039062;
8209;-0.033203;0.039062;1.040039;
8359;-0.034180;0.039062;1.039062;
8489;-0.032227;0.040039;1.039062;
8630;-0.034180;0.038086;1.038086;
8773;-0.034180;0.038086;1.038086;
8909;-0.034180;0.038086;1.039062;
9039;-0.033203;0.039062;1.039062;
9169;-0.033203;0.038086;1.040039;
9309;-0.034180;0.041016;1.038086;
9439;-0.034180;0.040039;1.040039;
9589;-0.035156;0.037109;1.038086;
9739;-0.034180;0.038086;1.039062;
9882;-0.034180;0.039062;1.039062;
10029;-0.034180;0.039062;1.039062;
10169;-0.034180;0.039062;1.039062;
10304;-0.034180;0.039062;1.038086;
10439;-0.034180;0.038086;1.038086;
10589;-0.033203;0.040039;1.039062;
10739;-0.034180;0.041016;1.040039;
10879;-0.034180;0.039062;1.039062;
11019;-0.034180;0.039062;1.038086;
11149;-0.034180;0.038086;1.039062;
11299;-0.034180;0.040039;1.040039;
11449;-0.033203;0.040039;1.039062;
11589;-0.034180;0.039062;1.039062;
11724;-0.034180;0.038086;1.040039;
11863;-0.033203;0.039062;1.039062;
12010;-0.034180;0.038086;1.038086;
12149;-0.034180;0.039062;1.038086;
12304;-0.035156;0.038086;1.038086;
12444;-0.034180;0.040039;1.038086;
12584;-0.034180;0.039062;1.039062;
12724;-0.033203;0.041016;1.039062;
12849;-0.034180;0.040039;1.039062;
12989;-0.033203;0.039062;1.039062;
13129;-0.035156;0.038086;1.039062;
13264;-0.034180;0.038086;1.039062;
13404;-0.035156;0.040039;1.039062;
13543;-0.033203;0.039062;1.039062;
13679;-0.033203;0.039062;1.039062;
13830;-0.034180;0.039062;1.038086;
13979;-0.034180;0.038086;1.039062;
14129;-0.035156;0.038086;1.038086;
14279;-0.034180;0.039062;1.038086;
14430;-0.034180;0.038086;1.039062;
14579;-0.034180;0.037109;1.037109;
14729;-0.034180;0.038086;1.039062;
14879;-0.034180;0.039062;1.039062;
15019;-0.035156;0.038086;1.038086;
15149;-0.033203;0.037109;1.038086;
15293;-0.034180;0.039062;1.039062;
15442;-0.034180;0.039062;1.039062;
15579;-0.033203;0.040039;1.039062;
15709;-0.035156;0.038086;1.041016;
15849;-0.035156;0.038086;1.039062;
15999;-0.034180;0.038086;1.038086;
16149;-0.034180;0.039062;1.039062;
16289;-0.033203;0.038086;1.038086;
16439;-0.033203;0.039062;1.039062;
16579;-0.034180;0.039062;1.039062;
16714;-0.035156;0.037109;1.040039;
16854;-0.035156;0.039062;1.038086;
16993;-0.034180;0.038086;1.039062;
17129;-0.035156;0.037109;1.038086;
17269;-0.033203;0.039062;1.039062;
17413;-0.032227;0.039062;1.039062;
17553;-0.034180;0.038086;1.039062;
17693;-0.034180;0.039062;1.039062;
17834;-0.034180;0.038086;1.039062;
17972;-0.033203;0.038086;1.039062;
18099;-0.034180;0.038086;1.039062;
18233;-0.035156;0.038086;1.039062;
18369;-0.035156;0.039062;1.039062;
18499;-0.035156;0.038086;1.037109;
18649;-0.033203;0.038086;1.038086;
18779;-0.034180;0.038086;1.038086;
18910;-0.034180;0.038086;1.040039;
19049;-0.034180;0.038086;1.038086;
