Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

398155;-73.333374;24.437500;0.021667;3.327500;100;

398302;-70.666626;24.437500;0.021667;3.327917;103;

398443;-68.000000;24.437500;0.021667;3.327917;100;

398586;-70.666626;24.437500;0.021667;3.327917;101;

398723;-73.333374;24.375000;0.021667;3.327917;100;

398866;-70.666626;24.437500;0.021667;3.327500;100;

399003;-70.666626;24.437500;0.021667;3.327917;99;

399146;-73.333374;24.375000;0.021667;3.327917;103;

399286;-70.666626;24.437500;0.021667;3.327917;102;

399423;-70.666626;24.437500;0.021667;3.327917;102;

399566;-70.666626;24.437500;0.021667;3.327917;102;

399703;-66.666626;24.437500;0.021667;3.327500;101;

399846;-70.666626;24.437500;0.021667;3.327917;102;

399983;-64.000000;24.375000;0.021667;3.327917;103;

400126;-70.666626;24.437500;0.021667;3.327917;100;

400264;-62.666626;24.437500;0.021667;3.327917;102;

400406;-58.666626;24.437500;0.021667;3.327917;101;

400543;-58.666626;24.437500;0.021667;3.327917;99;

400687;-60.000000;24.437500;0.021667;3.327917;100;

400836;-60.000000;24.437500;3.327500;3.327917;101;

400979;-64.000000;24.437500;0.021667;3.327500;101;

401116;-64.000000;24.375000;3.327500;3.327917;100;

401258;-57.333374;24.437500;0.021667;3.327500;103;

401407;-62.666626;24.437500;0.021667;3.327500;100;

401555;-60.000000;24.437500;0.021667;3.327500;100;

401695;-53.333374;24.437500;0.021667;3.327917;101;

401841;-57.333374;24.375000;0.021667;3.327917;99;

401985;-49.333374;24.437500;0.021667;3.327917;100;

402126;-48.000000;24.437500;0.021667;3.327917;97;

402263;-42.666626;24.437500;0.021667;3.327917;100;

402406;-36.000000;24.437500;0.021667;3.327917;99;

402546;-36.000000;24.375000;0.021667;3.327917;101;

402684;-36.000000;24.375000;0.021667;3.327917;98;

402826;-26.666626;24.437500;0.021667;3.327917;100;

402964;-30.666626;24.437500;0.021667;3.327917;101;

403107;-34.666626;24.437500;0.021667;3.327917;100;

403243;-22.666626;24.375000;0.021667;3.327917;99;

403386;-18.666626;24.375000;0.021667;3.327917;99;

403524;-18.666626;24.437500;0.021667;3.327917;101;

403666;-22.666626;24.375000;0.021667;3.327917;101;

403815;-20.000000;24.437500;0.021667;3.327917;101;

403950;-17.333374;24.437500;0.021667;3.327917;101;

404090;-21.333374;24.437500;0.021667;3.327500;100;

404230;-21.333374;24.437500;0.021667;3.327500;99;

404377;-25.333374;24.375000;3.327917;3.327917;99;

404510;-26.666626;24.437500;0.021250;3.327917;102;

404656;-34.666626;24.437500;0.021667;3.327917;102;

404793;-36.000000;24.437500;0.021667;3.327917;103;

404937;-48.000000;24.437500;0.021667;3.327917;103;

405083;-57.333374;24.375000;0.021667;3.327917;101;

405228;-53.333374;24.437500;0.021667;3.327917;100;

405376;-56.000000;24.437500;0.021667;3.327917;102;

405513;-57.333374;24.375000;0.021667;3.327084;99;

405657;-58.666626;24.437500;0.021667;3.325417;99;

405794;-60.000000;24.375000;0.021667;3.325417;101;

405936;-66.666626;24.375000;0.021667;3.324167;102;

406074;-64.000000;24.437500;0.021667;3.325417;100;

406216;-68.000000;24.437500;0.021667;3.327084;101;

406354;-70.666626;24.375000;0.021667;3.323750;99;

406496;-73.333374;24.375000;0.021667;3.323750;102;

406633;-84.000000;24.437500;0.021667;3.323334;102;

406781;-86.666626;24.437500;0.021667;3.322500;100;

406916;-86.666626;24.375000;3.322500;3.322500;100;

407062;-86.666626;24.437500;0.021667;3.322500;101;

407208;-89.333374;24.375000;0.021667;3.322500;100;

407354;-94.666626;24.437500;0.021667;3.322500;100;

407499;-90.666626;24.375000;0.021667;3.322500;99;

407636;-89.333374;24.375000;0.021667;3.322500;100;

407773;-81.333374;24.437500;0.021667;3.322500;98;

407917;-84.000000;24.437500;0.021667;3.322500;99;

408063;-73.333374;24.437500;0.021667;3.322500;98;

408208;-68.000000;24.375000;0.021667;3.322500;100;

408356;-60.000000;24.375000;0.021667;3.322500;101;

408494;-58.666626;24.437500;0.021667;3.322500;101;

408636;-50.666626;24.375000;0.021667;3.322500;100;

408774;-37.333374;24.375000;0.021667;3.322500;99;

408918;-34.666626;24.375000;0.021667;3.322500;99;

409066;-26.666626;24.375000;0.021667;3.322500;100;

409203;-29.333374;24.375000;0.021667;3.322500;100;

