datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_10-09-49.481882;457986;-137.333374;23.4375;0.021667;4.03375;95.0;0.041992;0.022461;0.768555;-60000;-60000;154364;0;0;0
2024-11-05_10-09-49.591285;458126;-133.333374;23.4375;0.02625;4.034167;94.0;0.033203;0.015625;0.652344;-60000;-60000;154480;0;0;0
2024-11-05_10-09-49.701276;458266;-116.0;23.4375;0.051667;4.032917;88.0;0.025391;0.019531;0.545898;20000;20000;154603;1;0;0
2024-11-05_10-09-49.857591;458406;-96.0;23.4375;0.14375;4.030417;94.0;0.014648;0.027344;0.4375;20000;20000;154763;1;0;0
2024-11-05_10-09-50.014471;458546;-84.0;23.4375;0.149583;4.030834;95.0;0.011719;0.020508;0.395508;20000;20000;154921;0;0;0
2024-11-05_10-09-50.182650;458686;-76.0;23.375;0.312083;4.032917;96.0;0.007812;0.024414;0.310547;20000;20000;155081;0;0;0
2024-11-05_10-09-50.313535;458966;-58.666626;23.4375;0.1025;4.043334;97.0;0.00293;0.019531;0.214844;20000;20000;155233;0;0;0
2024-11-05_10-09-50.487127;459106;-53.333374;23.375;0.12;4.030417;94.0;0.001953;0.015625;0.1875;20000;20000;155393;0;0;0
2024-11-05_10-09-50.628344;459248;-50.666626;23.4375;0.051667;4.02875;94.0;0.001953;0.018555;0.173828;20000;20000;155540;0;0;0
2024-11-05_10-09-50.774505;459396;-50.666626;23.4375;4.028333;4.02875;96.0;0.000977;0.019531;0.15625;20000;20000;155683;0;0;0
2024-11-05_10-09-50.941704;459528;-50.666626;23.4375;0.021667;4.02875;97.0;0.001953;0.024414;0.116211;20000;20000;155843;0;0;0
2024-11-05_10-09-51.099062;459682;-34.666626;23.4375;0.021667;4.02875;97.0;-0.000977;0.025391;0.09375;20000;20000;156003;0;0;0
2024-11-05_10-09-51.260930;459835;-41.333374;23.4375;0.021667;4.02875;96.0;0.0;0.021484;0.106445;20000;20000;156163;0;0;0
