datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-05_11-18-50.675005;495490;21.333374;24.3125;0.021667;3.375834;96.0;0.085938;0.018555;1.228516;-60000;-60000;495698;0;0;0
2024-11-05_11-18-50.832225;495770;66.666748;24.25;0.486667;3.39875;91.0;0.057617;0.021484;1.030273;20000;20000;495864;1;0;0
2024-11-05_11-18-51.004344;495907;90.666748;24.25;0.355417;3.553334;93.0;0.039062;0.033203;0.895508;20000;20000;496024;0;0;0
2024-11-05_11-18-51.145646;496051;104.0;24.25;0.115417;3.371667;92.0;0.033203;0.037109;0.791016;20000;20000;496173;0;0;0
2024-11-05_11-18-51.302031;496197;120.0;24.25;0.108333;3.402917;92.0;0.023438;0.040039;0.678711;20000;20000;496332;0;0;0
2024-11-05_11-18-51.490157;496342;140.0;24.25;0.09125;3.402917;95.0;0.021484;0.042969;0.612305;20000;20000;496502;0;0;0
2024-11-05_11-18-51.646882;496490;150.666748;24.25;0.117083;3.380833;97.0;0.014648;0.040039;0.5;20000;20000;496649;0;0;0
2024-11-05_11-18-51.787505;496627;166.666748;24.25;0.04625;3.3725;96.0;0.005859;0.033203;0.378906;20000;20000;496804;0;0;0
2024-11-05_11-18-51.944933;496771;181.333252;24.25;0.021667;3.370417;95.0;0.003906;0.03418;0.31543;20000;20000;496965;0;0;0
2024-11-05_11-18-52.257621;497057;192.0;24.25;0.021667;3.370417;94.0;0.001953;0.032227;0.219727;20000;20000;497274;0;0;0
2024-11-05_11-18-52.461407;497339;208.0;24.25;0.021667;3.370417;92.0;-0.00293;0.033203;0.119141;20000;20000;497488;0;0;0
2024-11-05_11-18-52.586478;497482;210.666748;24.25;0.021667;3.370417;94.0;0.0;0.029297;0.109375;20000;20000;497613;0;0;0
2024-11-05_11-18-52.766998;497629;216.0;24.25;0.021667;3.370417;96.0;-0.000977;0.029297;0.087891;1000;1000;142;0;0;0
2024-11-05_11-18-52.883938;497774;-22.666626;24.25;0.050833;3.375417;93.0;-0.000977;0.035156;0.075195;1166;1166;272;0;0;0
2024-11-05_11-18-53.071825;497907;-20.0;24.25;0.116667;3.397917;93.0;-0.001953;0.026367;0.058594;1500;1500;450;0;0;0
2024-11-05_11-18-53.213203;498066;-21.333374;24.25;0.105833;3.382917;93.0;-0.000977;0.027344;0.046875;1833;1833;601;0;0;0
2024-11-05_11-18-53.386048;498213;-18.666626;24.25;0.094583;3.3825;93.0;-0.003906;0.027344;0.033203;2333;2333;761;0;0;0
2024-11-05_11-18-53.511043;498367;-20.0;24.25;0.085833;3.385834;97.0;-0.00293;0.030273;0.030273;3000;3000;911;0;0;0
2024-11-05_11-18-53.682956;498509;-17.333374;24.25;0.0875;3.370833;95.0;-0.00293;0.026367;0.030273;3666;3666;1071;0;0;0
2024-11-05_11-18-53.808287;498653;-18.666626;24.25;0.10625;3.392083;95.0;-0.007812;0.029297;0.011719;4666;4666;1198;0;2;2
2024-11-05_11-18-53.969900;498800;-17.333374;24.25;0.10875;3.392083;97.0;-0.000977;0.029297;0.025391;6000;6000;1362;0;2;2
2024-11-05_11-18-54.136680;498937;-21.333374;24.25;0.117917;3.385834;98.0;-0.005859;0.03418;0.035156;6666;6666;1522;0;0;0
2024-11-05_11-18-54.283552;499213;-17.333374;24.25;0.099583;3.38625;100.0;-0.007812;0.030273;0.020508;8000;8000;1668;0;0;0
2024-11-05_11-18-54.435183;499352;-18.666626;24.25;0.112917;3.370833;103.0;-0.005859;0.02832;0.032227;10666;10666;1827;0;0;0
2024-11-05_11-18-54.607085;499497;-17.333374;24.25;0.141667;3.385834;102.0;-0.005859;0.03125;0.02832;12000;12000;1991;0;0;0
2024-11-05_11-18-54.873418;499777;-16.0;24.25;0.092917;3.38375;106.0;-0.010742;0.03125;0.015625;16000;16000;2251;0;2;0
2024-11-05_11-18-55.170549;500057;-17.333374;24.25;0.097083;3.370833;111.0;-0.007812;0.030273;0.013672;24000;24000;2570;0;0;0
2024-11-05_11-18-55.405321;500201;-16.0;24.25;0.095833;3.384583;115.0;-0.009766;0.026367;0.013672;26666;26666;2791;0;0;0
2024-11-05_11-18-55.577195;500485;-16.0;24.25;0.104583;3.394167;122.0;-0.007812;0.026367;0.004883;32000;32000;2946;0;0;0
2024-11-05_11-18-55.734230;500622;-18.666626;24.25;0.05;3.370417;129.0;-0.008789;0.025391;0.009766;42666;42666;3122;0;0;0
2024-11-05_11-18-55.891449;500768;-18.666626;24.25;0.116667;3.379583;136.0;-0.006836;0.026367;0.014648;48000;48000;3262;0;0;0
