(1720) PROCEDURE_TASK; INFO: Procedure task started
(1721) MACUS; INFO: Sync received: 0, expected: 1
(1721) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(1793) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(1793) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(1894) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2669) CLI; ERROR: Terminal doesn't support escape sequences
(2719) MACUS; INFO: Sync received: 0, expected: 1
(2719) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(3719) MACUS; INFO: Sync received: 0, expected: 1
(3719) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(4719) MACUS; INFO: Sync received: 0, expected: 1
(4719) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(5013) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5013) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5182) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5182) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5352) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5352) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5409) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5409) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5468) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5468) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5528) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5528) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5587) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5587) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5647) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5647) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5819) MACUS; INFO: Sync received: 0, expected: 1
(5819) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(5819) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5819) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5878) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5878) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5938) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5938) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6112) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6112) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6277) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6277) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6338) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6338) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6507) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6507) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6567) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6567) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6628) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6628) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6688) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6689) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6749) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6749) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6808) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6808) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6819) MACUS; INFO: Sync received: 0, expected: 1
(6819) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(6867) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6867) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6928) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6928) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7096) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7096) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7147) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7147) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7208) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7208) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7268) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7268) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7329) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7329) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7388) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7388) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7448) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7448) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7508) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7508) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7569) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7569) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7629) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7629) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7688) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7688) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7748) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7748) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7808) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7808) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7819) MACUS; INFO: Sync received: 0, expected: 1
(7819) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(7868) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7868) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7931) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7931) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(7988) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(7988) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8048) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8048) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8108) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8108) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8168) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8168) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8342) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8342) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8398) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8398) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8458) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8458) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8518) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8518) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8578) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8578) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8640) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8640) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8699) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8699) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8758) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8758) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8818) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8818) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8819) MACUS; INFO: Sync received: 0, expected: 1
(8819) SENSOR_CONTROLLER; ERROR: Failed to get MACUS data, reason: MACUS_STATUS_NO_SYNC_ERROR
(8878) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8878) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(8939) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(8939) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9001) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9001) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9164) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9164) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9218) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9218) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9277) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9277) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9338) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9338) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(9507) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(9507) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
