(1990) PROCEDURE_TASK; INFO: Procedure task started
(2063) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(2064) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(2164) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(2809) CLI; ERROR: Terminal doesn't support escape sequences
(5064) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5065) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5119) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5119) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5179) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5179) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5238) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5239) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5413) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5413) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5469) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5469) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5643) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5643) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5698) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5698) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5758) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5758) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5818) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5818) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5879) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5879) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(5939) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(5939) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6114) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6114) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6169) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6169) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6229) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6229) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6290) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6290) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6348) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6348) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6523) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6523) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6689) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6689) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6747) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6747) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6807) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6808) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6868) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6868) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(6930) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(6930) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
