Time;acc_x;acc_y;acc_z;

246083;0.092773;0.024414;1.048828;
246305;0.089844;0.017578;1.051758;
246455;0.088867;0.018555;1.071289;
246595;0.089844;0.024414;1.063477;
246735;0.094727;0.016602;1.058594;
246875;0.090820;0.012695;1.051758;
247015;0.088867;0.008789;1.043945;
247155;0.087891;0.015625;1.056641;
247295;0.089844;0.021484;1.069336;
247435;0.087891;0.018555;1.042969;
247575;0.093750;0.024414;1.040039;
247715;0.085938;0.017578;1.042969;
247855;0.083984;0.020508;1.027344;
247995;0.086914;0.019531;1.028320;
248135;0.087891;0.027344;1.036133;
248275;0.088867;0.026367;1.022461;
248415;0.087891;0.030273;1.035156;
248555;0.083008;0.026367;1.043945;
248690;0.084961;0.027344;1.073242;
248841;0.086914;0.026367;1.081055;
248990;0.087891;0.028320;1.057617;
249140;0.089844;0.022461;1.064453;
249285;0.089844;0.021484;1.056641;
249425;0.082031;0.022461;1.061523;
249565;0.084961;0.022461;1.050781;
249705;0.086914;0.016602;1.061523;
249840;0.085938;0.021484;1.036133;
249975;0.085938;0.026367;1.022461;
250115;0.080078;0.027344;1.012695;
250255;0.082031;0.023438;1.018555;
250395;0.087891;0.027344;1.010742;
250535;0.085938;0.025391;0.987305;
250675;0.087891;0.033203;0.976562;
250825;0.081055;0.023438;0.975586;
250965;0.079102;0.030273;1.000977;
251105;0.079102;0.031250;1.004883;
251250;0.083008;0.029297;1.010742;
251401;0.082031;0.026367;1.013672;
251555;0.084961;0.022461;1.029297;
251702;0.081055;0.020508;1.030273;
251860;0.082031;0.019531;1.034180;
252015;0.081055;0.019531;1.057617;
252155;0.083984;0.015625;1.061523;
252295;0.085938;0.019531;1.055664;
252435;0.082031;0.020508;1.029297;
252575;0.083008;0.012695;1.023438;
252725;0.083008;0.020508;1.041992;
252865;0.086914;0.019531;1.035156;
253005;0.084961;0.022461;1.002930;
253145;0.082031;0.022461;1.000000;
253285;0.078125;0.028320;0.996094;
253425;0.078125;0.025391;1.004883;
253565;0.080078;0.027344;1.024414;
