Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

592038;-34.666626;22.375000;0.021667;3.102500;198;

592179;-22.666626;22.375000;0.021667;3.102500;197;

592327;-25.333374;22.375000;0.021667;3.102917;196;

592467;-30.666626;22.375000;0.021667;3.102917;196;

592604;-22.666626;22.375000;0.021667;3.102500;197;

592747;-36.000000;22.375000;0.021667;3.102500;199;

592884;-25.333374;22.375000;0.021667;3.102917;197;

593027;-22.666626;22.375000;0.021667;3.102917;198;

593164;-25.333374;22.375000;0.021667;3.102500;197;

593307;-21.333374;22.375000;0.021667;3.102917;196;

593444;-26.666626;22.375000;0.021667;3.102500;198;

593587;-22.666626;22.375000;0.021667;3.102917;198;

593724;-18.666626;22.375000;0.021250;3.102917;196;

593867;-29.333374;22.375000;0.021667;3.102917;198;

594004;-21.333374;22.375000;0.021667;3.102500;195;

594147;-25.333374;22.375000;0.021667;3.102500;198;

594287;-22.666626;22.437500;0.021667;3.102917;201;

594424;-17.333374;22.375000;0.021250;3.102500;202;

594571;-32.000000;22.375000;0.021667;3.102917;198;

594729;-22.666626;22.375000;0.021667;3.102917;197;

594889;-26.666626;22.375000;0.021667;3.102917;197;

595037;-34.666626;22.375000;0.021667;3.102917;198;

595177;-17.333374;22.375000;0.021667;3.102917;196;

595327;-25.333374;22.375000;0.021667;3.102500;193;

595464;-21.333374;22.375000;0.021667;3.102500;198;

595607;-21.333374;22.375000;0.021250;3.102500;199;

595750;-32.000000;22.375000;0.021667;3.102917;197;

595909;-21.333374;22.375000;0.021667;3.102917;198;

596074;-32.000000;22.437500;0.021667;3.102917;197;

596218;-20.000000;22.375000;0.021667;3.102917;201;

596357;-25.333374;22.375000;0.021250;3.102917;199;

596494;-25.333374;22.375000;0.021667;3.102917;194;

596648;-21.333374;22.437500;0.021250;3.102917;196;

596797;-25.333374;22.375000;0.021667;3.102917;201;

596934;-22.666626;22.375000;0.021667;3.102917;202;

597085;-21.333374;22.375000;0.021667;3.102500;196;

597231;-32.000000;22.375000;0.021667;3.102917;196;

597387;-20.000000;22.375000;0.021667;3.102917;201;

597526;-32.000000;22.375000;0.021667;3.102917;198;

597667;-20.000000;22.375000;0.021667;3.102917;198;

597804;-22.666626;22.375000;0.021667;3.102500;196;

597963;-34.666626;22.375000;0.021667;3.102500;195;

598107;-18.666626;22.375000;0.021250;3.100834;197;

598244;-32.000000;22.375000;0.021667;3.101667;201;

598387;-22.666626;22.375000;0.021667;3.099583;200;

598534;-22.666626;22.375000;0.021250;3.099167;202;

598677;-25.333374;22.375000;0.021667;3.097500;198;

598814;-25.333374;22.375000;0.021667;3.097500;197;

598967;-30.666626;22.375000;0.021667;3.097500;200;

599117;-22.666626;22.375000;0.021667;3.097500;198;

599257;-21.333374;22.375000;0.021667;3.097500;198;

599399;-34.666626;22.375000;0.021667;3.097500;202;

599547;-20.000000;22.375000;0.021250;3.097500;197;

599700;-30.666626;22.437500;0.021250;3.097083;192;

599857;-20.000000;22.375000;0.021667;3.097500;198;

600010;-22.666626;22.375000;0.021667;3.107917;198;

600168;-29.333374;22.375000;0.021667;3.107917;199;

600317;-16.000000;22.375000;0.021667;3.114167;201;

600457;-32.000000;22.375000;0.021250;3.124167;197;

600597;-22.666626;22.375000;0.021250;3.129583;197;

600732;-18.666626;22.375000;0.021667;3.135000;196;

600875;-29.333374;22.375000;0.021667;3.140834;198;

601017;-20.000000;22.375000;0.021667;3.148334;194;

601154;-22.666626;22.375000;0.021667;3.155000;194;

601302;-26.666626;22.375000;0.021250;3.161667;199;

601450;-22.666626;22.375000;0.021667;3.166667;199;

601594;-34.666626;22.375000;0.021667;3.172084;196;

601737;-20.000000;22.375000;0.021667;3.174583;199;

601876;-25.333374;22.375000;0.021667;3.180417;200;

602017;-30.666626;22.437500;0.021667;3.188334;197;

602154;-20.000000;22.375000;0.021667;3.193750;196;

602308;-34.666626;22.375000;0.021667;3.202500;201;

602471;-21.333374;22.375000;0.021667;3.204167;201;

602630;-22.666626;22.375000;0.021667;3.213333;199;

602777;-25.333374;22.375000;0.021667;3.215000;198;

602930;-22.666626;22.375000;0.021667;3.220417;195;

603089;-30.666626;22.375000;0.021667;3.231250;200;

603237;-18.666626;22.375000;0.021667;3.236250;195;

603375;-22.666626;22.375000;0.021667;3.241667;198;

603517;-30.666626;22.375000;0.021667;3.243334;199;

603661;-16.000000;22.375000;0.021667;3.247083;201;

603807;-29.333374;22.375000;0.021667;3.252500;199;

603950;-30.666626;22.375000;0.021667;3.257917;201;

604094;-22.666626;22.375000;0.021667;3.263333;198;

604251;-32.000000;22.375000;0.021667;3.271250;197;

604397;-22.666626;22.375000;0.021667;3.274167;197;

604534;-22.666626;22.375000;0.021667;3.279167;197;

604677;-30.666626;22.375000;0.021667;3.284583;197;

604821;-22.666626;22.375000;0.021667;3.284583;199;

604981;-22.666626;22.375000;0.021250;3.293333;198;

605132;-22.666626;22.375000;0.021667;3.300833;200;

605279;-18.666626;22.375000;0.021667;3.305417;194;

605420;-30.666626;22.375000;0.021667;3.305834;196;

605567;-21.333374;22.375000;0.021667;3.311250;199;

605707;-25.333374;22.375000;0.021667;3.316667;199;

605844;-25.333374;22.375000;0.021667;3.322083;198;

606001;-22.666626;22.375000;0.021667;3.327084;197;

606150;-25.333374;22.375000;0.021250;3.332500;198;

606297;-30.666626;22.437500;0.021250;3.337917;200;

606437;-18.666626;22.375000;0.021667;3.343333;198;

606577;-26.666626;22.375000;0.021667;3.346667;199;

606718;-29.333374;22.375000;0.021667;3.348750;195;

606867;-18.666626;22.375000;0.021667;3.354167;198;

607004;-34.666626;22.375000;0.021667;3.359167;197;

607147;-34.666626;22.375000;0.021250;3.364584;195;

607290;-18.666626;22.375000;0.021667;3.364584;199;

607437;-30.666626;22.375000;0.021250;3.369584;197;

607587;-29.333374;22.375000;0.021250;3.380833;198;

607740;-21.333374;22.375000;0.021667;3.381250;198;

607880;-26.666626;22.375000;0.021667;3.385834;197;

608035;-22.666626;22.375000;0.021667;3.391250;200;

608195;-21.333374;22.375000;0.021250;3.400417;199;

608337;-26.666626;22.375000;0.021667;3.409583;199;

608474;-22.666626;22.375000;0.021250;3.410834;200;

608624;-21.333374;22.375000;3.410417;3.415833;197;

608767;-30.666626;22.375000;0.021667;3.419584;200;

608904;-22.666626;22.375000;0.021250;3.421250;200;

609047;-22.666626;22.375000;0.021667;3.426666;195;

609187;-32.000000;22.375000;0.021667;3.432083;197;

609327;-25.333374;22.437500;3.432083;3.437500;195;

609464;-22.666626;22.375000;0.021667;3.442917;201;

609607;-25.333374;22.375000;0.021667;3.442917;200;

609747;-20.000000;22.375000;0.021250;3.448334;201;

609887;-18.666626;22.375000;0.021667;3.453750;200;

610024;-29.333374;22.375000;0.021667;3.458750;198;

610174;-21.333374;22.375000;0.021667;3.460000;198;

610327;-30.666626;22.375000;0.021667;3.464584;197;

610488;-22.666626;22.375000;0.021667;3.470000;196;

610641;-29.333374;22.375000;0.021250;3.475000;197;

610791;-22.666626;22.375000;0.021667;3.475000;197;

610937;-29.333374;22.375000;0.021667;3.480417;198;

611077;-21.333374;22.375000;0.021667;3.484584;197;

611214;-21.333374;22.375000;0.021667;3.486667;199;

611373;-22.666626;22.375000;0.021667;3.492917;201;

611517;-25.333374;22.375000;0.021667;3.497500;202;

611657;-22.666626;22.375000;0.021667;3.502084;199;

611797;-22.666626;22.375000;0.021667;3.507500;200;

611935;-17.333374;22.375000;0.021667;3.511250;200;

612079;-22.666626;22.375000;0.021667;3.517917;201;

612228;-21.333374;22.375000;0.021667;3.519583;201;

612364;-30.666626;22.375000;0.021667;3.523334;196;

612510;-25.333374;22.375000;0.021667;3.528750;198;

612657;-22.666626;22.375000;0.021667;3.534167;199;

612812;-17.333374;22.375000;0.021667;3.535833;198;

612962;-22.666626;22.375000;0.021667;3.539584;200;

613117;-16.000000;22.375000;0.021667;3.545417;199;

613275;-18.666626;22.375000;3.545000;3.550417;197;

613428;-20.000000;22.375000;0.021667;3.550833;200;

613578;-21.333374;22.375000;0.021667;3.557917;197;

613728;-17.333374;22.375000;0.021667;3.561250;198;

613869;-18.666626;22.375000;0.021667;3.568333;198;

614017;-20.000000;22.375000;0.021250;3.572083;198;

614155;-18.666626;22.375000;0.021667;3.574167;196;

614297;-17.333374;22.375000;0.021667;3.577500;199;

614439;-18.666626;22.375000;0.021667;3.582500;198;

614587;-18.666626;22.375000;0.021250;3.587917;198;

614727;-17.333374;22.375000;0.021667;3.592917;198;

614867;-13.333374;22.375000;0.021667;3.594167;195;

615007;-21.333374;22.375000;0.021667;3.599167;197;

615154;-16.000000;22.375000;0.021667;3.604167;198;

615297;-17.333374;22.375000;0.021667;3.607917;200;

615440;-17.333374;22.375000;0.021667;3.615000;199;

615593;-13.333374;22.375000;0.021667;3.615000;197;

615750;-17.333374;22.375000;0.021667;3.615417;197;

615906;-16.000000;22.375000;0.021667;3.625834;199;

616059;-13.333374;22.375000;0.021667;3.631250;202;

616197;-16.000000;22.375000;0.021667;3.631667;198;

616343;-16.000000;22.375000;0.021667;3.637500;196;

616496;-17.333374;22.375000;3.636250;3.642083;199;

616624;-16.000000;22.375000;0.021667;3.644584;196;

616767;-16.000000;22.375000;0.021667;3.647083;198;

616907;-17.333374;22.375000;0.021250;3.652500;197;

617060;-16.000000;22.375000;0.021667;3.657917;200;

617210;-13.333374;22.375000;0.021250;3.661250;198;

617357;-13.333374;22.375000;0.021667;3.668750;200;

617497;-13.333374;22.375000;0.021250;3.672084;201;

617644;-10.666626;22.375000;3.669583;3.674167;198;

617790;-13.333374;22.375000;0.021667;3.674583;198;

617934;-10.666626;22.375000;0.021667;3.679584;198;

618080;-16.000000;22.375000;0.021667;3.681250;197;

618235;-16.000000;22.375000;0.021250;3.685000;198;

618374;-17.333374;22.375000;0.021667;3.690417;197;

618517;-16.000000;22.375000;0.021667;0.021250;199;

618643;-10.666626;22.375000;0.021667;3.700833;198;

618800;-8.000000;22.375000;0.021667;3.701250;199;

618962;-16.000000;22.375000;0.021667;3.706667;198;

619117;-16.000000;22.375000;0.021667;3.711667;200;

619267;-16.000000;22.375000;0.021667;3.717084;196;

619404;-16.000000;22.375000;0.021250;3.722083;198;

619547;-13.333374;22.375000;0.021667;3.727917;202;

619684;-10.666626;22.375000;0.021667;3.727500;197;

619827;-10.666626;22.375000;0.021667;3.733333;199;

619964;-10.666626;22.375000;0.021667;3.735000;199;

620107;-13.333374;22.375000;0.021667;3.738750;197;

620247;-8.000000;22.375000;0.021667;3.747083;198;

620384;-16.000000;22.375000;0.021667;3.752500;203;

620530;-16.000000;22.375000;0.021667;3.752084;199;

620679;-16.000000;22.375000;0.021250;3.757917;199;

620827;-10.666626;22.375000;0.021250;3.762917;198;

620967;-16.000000;22.375000;0.021667;3.767083;200;

621104;-10.666626;22.375000;0.021667;3.772084;198;

621259;-13.333374;22.375000;0.021250;3.773334;199;

621416;-16.000000;22.375000;0.021667;3.778750;198;

621562;-8.000000;22.375000;0.021667;3.782084;202;

621714;-13.333374;22.375000;0.021667;3.789167;198;

621870;-17.333374;22.375000;0.021667;3.791250;199;

622017;-10.666626;22.375000;0.021250;3.795000;198;

622157;-13.333374;22.375000;0.021667;3.800000;197;

622294;-17.333374;22.375000;0.021667;3.803750;196;

622424;-17.333374;22.375000;0.021667;3.805417;198;

622565;-13.333374;22.375000;0.021667;3.808750;197;

622707;-13.333374;22.375000;0.021667;3.810834;199;

622847;-17.333374;22.375000;0.021667;3.816250;200;

622984;-13.333374;22.375000;0.021250;3.821250;196;

623130;-16.000000;22.375000;0.021250;0.021667;196;

