datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-06_12-48-48.679774;292557;-8.0;22.375;0.021667;3.975;139.0;0.056641;0.019531;0.920898;-60000;-60000;292661;0;0;0
2024-11-06_12-48-48.884093;292705;14.666626;22.375;0.090417;3.987917;130.0;0.039062;0.03125;0.78418;-60000;-60000;292851;0;0;0
2024-11-06_12-48-49.040727;292853;38.666626;22.375;0.187083;3.979584;119.0;0.035156;0.027344;0.699219;-60000;-60000;293011;0;0;0
2024-11-06_12-48-49.181390;293003;48.0;22.375;0.107917;3.975417;112.0;0.023438;0.020508;0.578125;-60000;-60000;293171;0;0;0
2024-11-06_12-48-49.464464;293281;85.333252;22.375;0.0875;3.975417;93.0;0.007812;0.027344;0.392578;20000;20000;293443;1;0;0
2024-11-06_12-48-49.669097;293424;88.0;22.375;0.165417;4.1675;87.0;0.006836;0.025391;0.313477;20000;20000;293632;1;0;0
2024-11-06_12-48-49.794960;293706;113.333252;22.375;0.455417;4.095;95.0;0.001953;0.023438;0.181641;20000;20000;293781;1;0;0
2024-11-06_12-48-49.969145;293844;117.333252;22.375;0.435833;4.04125;95.0;0.006836;0.025391;0.158203;20000;20000;293941;0;0;0
2024-11-06_12-48-50.109727;293986;121.333252;22.375;0.07125;3.98625;96.0;0.005859;0.024414;0.121094;20000;20000;294101;0;0;0
2024-11-06_12-48-50.251016;294125;124.0;22.375;0.068333;3.984584;95.0;0.000977;0.027344;0.072266;20000;20000;294241;0;0;0
2024-11-06_12-48-50.423375;294266;136.0;22.375;0.117917;3.97625;94.0;0.001953;0.024414;0.061523;20000;20000;294399;0;0;0
2024-11-06_12-48-50.646906;294546;136.0;22.375;0.048333;3.975417;96.0;0.000977;0.025391;0.041016;60000;60000;3;0;0;0
2024-11-06_12-48-50.784872;294685;136.0;22.3125;0.021667;3.975;102.0;0.001953;0.026367;0.03418;60000;60000;138;0;0;0
