datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-06_13-44-51.117440;970626;137.333252;23.1875;0.0225;3.95375;65535.0;0.017578;0.021484;0.463867;-60000;-60000;156491;0;2;0
2024-11-06_13-44-51.209105;970843;148.0;23.1875;0.021667;3.95375;65535.0;0.001953;0.022461;0.34668;-60000;-60000;156580;0;0;0
2024-11-06_13-44-51.371115;970843;148.0;23.1875;0.021667;3.95375;65535.0;0.001953;0.022461;0.34668;-60000;-60000;156739;0;0;0
2024-11-06_13-44-51.507023;971067;166.666748;23.1875;0.029167;3.954167;65535.0;0.007812;0.020508;0.283203;-60000;-60000;156881;0;0;0
2024-11-06_13-44-51.663682;971283;173.333252;23.1875;0.054583;3.96;65535.0;0.004883;0.020508;0.210938;-60000;-60000;157041;0;0;0
2024-11-06_13-44-51.819972;971283;173.333252;23.1875;0.054583;3.96;65535.0;0.004883;0.020508;0.210938;-60000;-60000;157191;0;0;0
2024-11-06_13-44-51.992106;971516;189.333252;23.25;0.05;3.95375;65535.0;0.001953;0.017578;0.173828;-60000;-60000;157356;0;0;0
2024-11-06_13-44-52.149463;971738;198.666748;23.1875;3.954583;3.954167;65535.0;0.00293;0.016602;0.129883;-60000;-60000;157530;0;0;0
2024-11-06_13-44-52.290379;971947;196.0;23.1875;0.130417;3.967084;65535.0;0.000977;0.027344;0.112305;-60000;-60000;157671;0;0;0
2024-11-06_13-44-52.448696;971947;196.0;23.1875;0.130417;3.967084;65535.0;0.000977;0.027344;0.112305;-60000;-60000;157813;0;0;0
2024-11-06_13-44-52.621379;972172;202.666748;23.25;0.09875;3.954167;65535.0;0.000977;0.026367;0.114258;-60000;-60000;157969;0;0;0
2024-11-06_13-44-52.747776;972387;190.666748;23.1875;0.098333;3.952917;65535.0;-0.005859;0.025391;0.09668;-60000;-60000;158121;0;0;0
2024-11-06_13-44-52.920496;972387;190.666748;23.1875;0.098333;3.952917;65535.0;-0.005859;0.025391;0.09668;20000;20000;158281;1;0;0
2024-11-06_13-44-53.093031;972606;192.0;23.25;0.111667;3.950417;65535.0;-0.003906;0.027344;0.102539;20000;20000;1;1;0;0
2024-11-06_13-44-53.234530;972813;202.666748;23.25;0.321667;4.204167;65535.0;-0.003906;0.025391;0.098633;20000;20000;161;0;0;0
2024-11-06_13-44-53.392478;973026;190.666748;23.1875;0.4675;4.1825;65535.0;-0.003906;0.026367;0.085938;20000;20000;301;0;0;0
2024-11-06_13-44-53.548624;973026;190.666748;23.1875;0.4675;4.1825;65535.0;-0.003906;0.026367;0.085938;80000;80000;464;0;0;0
2024-11-06_13-44-53.705747;973246;190.666748;23.25;0.1075;3.956667;65535.0;-0.007812;0.024414;0.083984;80000;80000;619;0;0;0
2024-11-06_13-44-53.877974;973465;192.0;23.1875;0.037917;3.94875;65535.0;-0.005859;0.024414;0.073242;80000;80000;792;0;0;0
2024-11-06_13-44-54.004924;973465;192.0;23.1875;0.037917;3.94875;65535.0;-0.005859;0.024414;0.073242;80000;80000;931;0;0;0
2024-11-06_13-44-54.160783;973688;198.666748;23.25;0.080833;3.94875;65535.0;0.000977;0.026367;0.083984;80000;80000;1091;0;0;0
2024-11-06_13-44-54.334610;973903;200.0;23.1875;0.07625;3.94875;65535.0;-0.009766;0.023438;0.051758;80000;80000;1248;0;0;0
2024-11-06_13-44-54.491197;974127;197.333252;23.25;0.08;3.94875;65535.0;-0.004883;0.022461;0.051758;80000;80000;1408;0;0;0
2024-11-06_13-44-54.681330;974127;197.333252;23.25;0.08;3.94875;65535.0;-0.004883;0.022461;0.051758;0;0;1591;0;0;0
2024-11-06_13-44-54.820386;974343;198.666748;23.1875;0.62625;4.002501;65535.0;-0.005859;0.016602;0.041016;0;0;1729;0;0;0
2024-11-06_13-44-54.945533;974564;201.333252;23.1875;0.042917;3.959167;65535.0;-0.010742;0.021484;0.032227;23333;23333;1871;0;0;0
2024-11-06_13-44-55.196618;974773;201.333252;23.1875;0.037917;3.94875;65535.0;-0.006836;0.03125;0.014648;70000;70000;2121;0;0;0
2024-11-06_13-44-55.322132;974773;201.333252;23.1875;0.037917;3.94875;65535.0;-0.006836;0.03125;0.014648;70000;70000;2221;0;0;0
2024-11-06_13-44-55.447340;974986;201.333252;23.1875;0.021667;3.94875;65535.0;-0.010742;0.03418;0.007812;70000;70000;2341;0;0;0
2024-11-06_13-44-55.588210;975193;194.666748;23.1875;0.02625;3.94875;65535.0;-0.007812;0.042969;-0.004883;70000;70000;2511;0;0;0
2024-11-06_13-44-55.760256;975420;186.666748;23.25;3.949583;3.959167;65535.0;-0.009766;0.042969;-0.015625;11666;11666;2681;0;0;0
2024-11-06_13-44-56.012076;975637;169.333252;23.1875;0.5925;4.157917;65535.0;-0.008789;0.043945;-0.020508;-46666;-46666;2921;0;0;0
2024-11-06_13-44-56.207193;975859;204.0;23.1875;0.0225;3.94875;65535.0;-0.010742;0.037109;-0.02832;-70000;-70000;3131;0;0;0
2024-11-06_13-44-56.377803;975859;204.0;23.1875;0.0225;3.94875;65535.0;-0.010742;0.037109;-0.02832;-70000;-70000;3291;0;0;0
2024-11-06_13-44-56.529788;976097;212.0;23.1875;0.1075;3.94875;65535.0;-0.010742;0.036133;-0.02832;-46666;-46666;3441;0;0;0
2024-11-06_13-44-56.701697;976323;208.0;23.1875;0.27125;4.057917;65535.0;-0.013672;0.041016;-0.033203;10000;10000;3602;0;0;0
2024-11-06_13-44-56.826696;976323;208.0;23.1875;0.27125;4.057917;65535.0;-0.013672;0.041016;-0.033203;60000;60000;3744;0;0;0
2024-11-06_13-44-56.998537;976550;216.0;23.1875;0.170417;3.95125;65535.0;-0.012695;0.041016;-0.039062;60000;60000;3911;0;0;0
2024-11-06_13-44-57.125023;976753;204.0;23.25;0.027917;3.943334;65535.0;-0.013672;0.039062;-0.026367;60000;60000;4060;0;0;0
2024-11-06_13-44-57.313281;976976;190.666748;23.1875;0.109583;3.782917;65535.0;-0.012695;0.037109;-0.021484;40000;40000;4230;0;0;0
2024-11-06_13-44-57.478087;976976;190.666748;23.1875;0.109583;3.782917;65535.0;-0.012695;0.037109;-0.021484;10000;10000;4392;0;0;0
2024-11-06_13-44-57.642788;977193;181.333252;23.25;0.190417;0.535;65535.0;-0.012695;0.03418;-0.008789;0;0;4561;0;0;0
2024-11-06_13-44-57.831704;977403;186.666748;23.1875;0.13;3.768333;65535.0;-0.011719;0.033203;-0.016602;0;0;4738;0;0;0
2024-11-06_13-44-58.004959;977628;176.0;23.25;0.169583;3.753751;65535.0;-0.013672;0.038086;-0.001953;0;0;4907;0;0;0
2024-11-06_13-44-58.541537;978066;201.333252;23.1875;0.07875;3.7225;65535.0;-0.013672;0.033203;0.007812;-80000;-80000;5410;0;0;0
2024-11-06_13-44-58.714493;978286;204.0;23.1875;0.07875;3.70625;65535.0;-0.015625;0.037109;0.019531;-80000;-80000;5641;0;0;0
