(863715) PROCEDURE_TASK; INFO: Procedure task started
(863754) GPIO_WRAPPER; WARN: GPIO wrapper already initialized
(863754) SENSOR_CONTROLLER; WARN: Failed to initialize GPIO wrapper, probably already initialized
(863859) SENSOR_CONTROLLER; INFO: Sensor controller initialized
(864614) CLI; ERROR: Terminal doesn't support escape sequences
(866891) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(866891) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(867001) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(867001) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(867303) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(867303) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(867411) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(867411) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(867721) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(867721) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(868052) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(868052) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(868171) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(868171) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(868292) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(868292) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(868726) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(868726) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(868931) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(868931) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(869142) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(869142) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(869421) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(869421) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(869731) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(869731) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(869831) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(869831) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(870146) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(870146) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(870423) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(870423) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(870641) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(870641) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(871061) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(871061) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(871371) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(871371) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(871471) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(871471) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(871682) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(871682) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(871744) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(871744) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872021) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872021) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872252) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872252) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872372) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872372) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872595) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872595) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872701) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872701) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872801) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872801) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(872901) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(872901) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(873111) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(873111) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(873211) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(873211) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(873311) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(873311) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(873512) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(873512) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(874105) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(874105) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(874441) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(874442) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(874671) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(874671) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(874781) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(874781) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(874881) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(874881) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(875081) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(875082) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(875301) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(875301) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(875603) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(875604) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(876042) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(876042) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(876272) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(876272) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(876551) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(876551) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(876751) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(876751) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(876851) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(876851) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(877226) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(877226) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(877431) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(877431) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(877643) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(877644) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(877861) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(877861) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(877972) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(877972) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(878092) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(878092) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(878531) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(878531) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(878731) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(878731) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(878831) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(878831) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(878931) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(878931) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(879151) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(879151) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(879251) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(879251) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(879351) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(879351) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
(879551) MECHANICAL_CONTROLLER; INFO: Mechanical controller blocked
(879551) MECHANICAL_CONTROLLER; INFO: Mechanical controller unblocked
