Time;acc_x;acc_y;acc_z;

307243;-0.018555;0.024414;0.013672;
307459;-0.020508;0.026367;0.014648;
307609;-0.021484;0.028320;0.005859;
307749;-0.020508;0.024414;0.014648;
307889;-0.020508;0.024414;0.003906;
308029;-0.023438;0.023438;0.005859;
308169;-0.022461;0.023438;0.002930;
308309;-0.021484;0.021484;0.010742;
308449;-0.022461;0.021484;0.011719;
308589;-0.023438;0.021484;0.010742;
308729;-0.024414;0.022461;0.008789;
308869;-0.023438;0.022461;0.003906;
309009;-0.021484;0.022461;0.009766;
309149;-0.024414;0.023438;0.008789;
309289;-0.022461;0.022461;0.009766;
309429;-0.025391;0.020508;0.008789;
309569;-0.025391;0.016602;0.013672;
309709;-0.026367;0.023438;0.005859;
309845;-0.025391;0.024414;0.009766;
309994;-0.027344;0.023438;0.009766;
310144;-0.025391;0.023438;0.010742;
310294;-0.027344;0.025391;0.011719;
310444;-0.024414;0.023438;0.019531;
310599;-0.027344;0.022461;0.013672;
310749;-0.027344;0.022461;0.011719;
310889;-0.028320;0.018555;0.008789;
311024;-0.028320;0.020508;0.010742;
311154;-0.029297;0.019531;0.022461;
311309;-0.029297;0.021484;0.022461;
311449;-0.028320;0.020508;0.017578;
311589;-0.028320;0.020508;0.021484;
311739;-0.029297;0.021484;0.013672;
311879;-0.030273;0.022461;0.017578;
312019;-0.031250;0.022461;0.017578;
312160;-0.031250;0.019531;0.024414;
312309;-0.033203;0.020508;0.019531;
312449;-0.029297;0.019531;0.025391;
312585;-0.033203;0.018555;0.032227;
312734;-0.032227;0.017578;0.027344;
312884;-0.030273;0.018555;0.022461;
313034;-0.033203;0.020508;0.020508;
313189;-0.034180;0.018555;0.026367;
313329;-0.033203;0.021484;0.022461;
313469;-0.035156;0.020508;0.020508;
313609;-0.034180;0.022461;0.016602;
313749;-0.035156;0.020508;0.020508;
313889;-0.036133;0.018555;0.017578;
314029;-0.035156;0.024414;0.010742;
314169;-0.036133;0.023438;0.018555;
314299;-0.036133;0.025391;0.014648;
314439;-0.038086;0.023438;0.016602;
314579;-0.036133;0.028320;0.013672;
314719;-0.037109;0.028320;0.010742;
314859;-0.038086;0.032227;0.009766;
314999;-0.038086;0.035156;0.001953;
315134;-0.038086;0.036133;0.000000;
315274;-0.040039;0.037109;-0.007812;
315414;-0.040039;0.038086;-0.017578;
315564;-0.040039;0.040039;-0.024414;
315714;-0.040039;0.041016;-0.027344;
315855;-0.040039;0.035156;-0.041992;
316009;-0.040039;0.029297;-0.046875;
316149;-0.041016;0.027344;-0.050781;
316289;-0.040039;0.027344;-0.040039;
316429;-0.041016;0.027344;-0.015625;
316569;-0.043945;0.028320;-0.017578;
316719;-0.045898;0.029297;-0.005859;
316859;-0.045898;0.030273;0.023438;
316999;-0.048828;0.029297;0.038086;
317139;-0.048828;0.031250;0.048828;
317279;-0.048828;0.023438;0.075195;
317419;-0.050781;0.028320;0.106445;
317559;-0.049805;0.023438;0.160156;
317709;-0.048828;0.027344;0.211914;
317849;-0.049805;0.025391;0.273438;
317984;-0.048828;0.026367;0.315430;
318124;-0.048828;0.024414;0.385742;
318274;-0.044922;0.027344;0.468750;
318414;-0.041992;0.028320;0.535156;
318565;-0.033203;0.024414;0.621094;
318719;-0.029297;0.026367;0.721680;
318859;-0.027344;0.021484;0.781250;
318999;-0.025391;0.016602;0.867188;
319139;-0.024414;0.018555;0.929688;
319279;-0.021484;0.019531;1.007812;
319419;-0.016602;0.021484;1.064453;
319559;-0.008789;0.023438;1.137695;
319699;-0.001953;0.019531;1.203125;
319839;0.006836;0.019531;1.250977;
319979;0.015625;0.015625;1.313477;
320119;0.019531;0.012695;1.350586;
320259;0.026367;0.009766;1.398438;
320409;0.030273;0.009766;1.428711;
320549;0.033203;0.013672;1.473633;
320689;0.035156;0.012695;1.502930;
320814;0.036133;0.011719;1.546875;
320964;0.034180;0.015625;1.569336;
321115;0.036133;0.015625;1.608398;
321264;0.036133;0.018555;1.645508;
321414;0.036133;0.020508;1.673828;
321559;0.040039;0.024414;1.692383;
321699;0.039062;0.026367;1.714844;
321839;0.041016;0.023438;1.718750;
321979;0.038086;0.023438;1.741211;
322119;0.038086;0.025391;1.760742;
322259;0.039062;0.022461;1.780273;
322399;0.035156;0.019531;1.765625;
322539;0.035156;0.019531;1.770508;
322689;0.034180;0.017578;1.790039;
322829;0.034180;0.017578;1.796875;
322969;0.033203;0.021484;1.800781;
323109;0.036133;0.011719;1.808594;
323249;0.034180;0.006836;1.834961;
323399;0.037109;0.002930;1.870117;
323534;0.040039;0.010742;1.902344;
323674;0.036133;0.012695;1.894531;
323824;0.037109;0.027344;1.920898;
323974;0.035156;0.022461;1.923828;
324115;0.034180;0.033203;1.916016;
324269;0.033203;0.031250;1.919922;
324409;0.029297;0.031250;1.912109;
324549;0.028320;0.022461;1.897461;
324689;0.025391;0.029297;1.908203;
324829;0.024414;0.026367;1.912109;
324969;0.027344;0.023438;1.914062;
325109;0.027344;0.018555;1.935547;
325249;0.025391;0.018555;1.957031;
325389;0.028320;0.022461;1.986328;
325529;0.030273;0.016602;2.001953;
325669;0.031250;0.017578;2.026367;
325819;0.033203;0.017578;2.042969;
325959;0.035156;0.017578;2.078125;
326099;0.036133;0.009766;2.097656;
326236;0.036133;0.009766;2.121094;
326384;0.038086;0.011719;2.149414;
326534;0.037109;0.010742;2.151367;
326684;0.035156;0.010742;2.167969;
326834;0.036133;0.007812;2.160156;
326989;0.034180;0.004883;2.157227;
327129;0.035156;0.003906;2.154297;
327269;0.032227;0.004883;2.148438;
327409;0.032227;0.008789;2.150391;
327549;0.025391;0.004883;2.120117;
327699;0.023438;0.008789;2.103516;
327839;0.025391;0.010742;2.097656;
327979;0.018555;0.008789;2.069336;
328119;0.017578;0.014648;2.047852;
328259;0.014648;0.014648;2.041016;
328399;0.013672;0.016602;2.038086;
328539;0.014648;0.018555;2.048828;
328679;0.013672;0.018555;2.051758;
328819;0.014648;0.015625;2.063477;
328954;0.015625;0.011719;2.061523;
329105;0.017578;0.007812;2.075195;
329254;0.016602;0.013672;2.087891;
329404;0.016602;0.012695;2.105469;
329559;0.013672;0.011719;2.108398;
329694;0.016602;0.013672;2.115234;
329834;0.016602;0.017578;2.126953;
329989;0.017578;0.010742;2.138672;
330129;0.014648;0.005859;2.121094;
330269;0.013672;0.009766;2.118164;
330409;0.011719;0.007812;2.100586;
330559;0.008789;0.010742;2.094727;
330699;0.005859;0.008789;2.083984;
330839;0.004883;0.007812;2.063477;
330979;0.000000;0.007812;2.051758;
331119;0.000000;0.011719;2.034180;
331259;-0.001953;0.011719;2.031250;
331399;-0.002930;0.011719;2.031250;
331539;-0.004883;0.008789;2.015625;
331679;-0.005859;0.014648;2.023438;
331819;-0.005859;0.014648;2.036133;
331955;-0.008789;0.011719;2.026367;
332104;-0.007812;0.011719;2.037109;
332244;-0.007812;0.016602;2.050781;
332394;-0.007812;0.017578;2.065430;
332545;-0.005859;0.018555;2.065430;
332699;-0.006836;0.011719;2.074219;
332839;-0.001953;0.011719;2.077148;
332979;-0.000977;0.009766;2.087891;
333119;-0.000977;0.007812;2.089844;
333259;-0.002930;0.005859;2.085938;
333399;-0.002930;0.013672;2.094727;
333539;-0.004883;0.010742;2.093750;
333679;-0.003906;0.008789;2.082031;
333819;-0.001953;0.004883;2.068359;
333955;-0.000977;0.010742;2.078125;
334099;-0.006836;0.012695;2.057617;
334239;-0.004883;0.010742;2.059570;
334379;-0.002930;0.007812;2.047852;
334529;-0.006836;0.012695;2.046875;
334665;-0.006836;0.016602;2.048828;
334815;-0.007812;0.013672;2.041016;
334964;-0.004883;0.016602;2.053711;
335105;-0.006836;0.017578;2.035156;
335245;-0.005859;0.014648;2.046875;
335399;-0.006836;0.015625;2.046875;
335539;-0.006836;0.013672;2.042969;
335689;-0.006836;0.013672;2.044922;
335829;-0.004883;0.012695;2.037109;
335969;-0.005859;0.009766;2.033203;
336109;-0.006836;0.012695;2.022461;
336249;-0.005859;0.009766;2.024414;
336389;-0.003906;0.009766;2.023438;
336529;-0.006836;0.011719;2.018555;
336679;-0.003906;0.011719;2.021484;
336819;-0.006836;0.011719;2.011719;
336959;-0.005859;0.012695;2.018555;
337109;-0.003906;0.012695;2.000977;
337249;-0.002930;0.016602;2.003906;
337384;-0.003906;0.011719;1.998047;
337524;-0.004883;0.013672;1.999023;
337674;-0.003906;0.011719;1.996094;
337824;-0.002930;0.014648;2.000000;
337954;-0.003906;0.019531;1.992188;
338099;-0.002930;0.014648;1.986328;
338239;-0.001953;0.016602;1.986328;
338379;-0.001953;0.010742;1.984375;
338519;-0.001953;0.012695;1.979492;
338659;-0.000977;0.015625;1.975586;
338799;-0.001953;0.014648;1.975586;
338939;-0.002930;0.014648;1.970703;
339079;-0.000977;0.012695;1.960938;
339219;0.002930;0.012695;1.959961;
339359;0.001953;0.017578;1.959961;
339499;-0.001953;0.014648;1.947266;
339639;-0.000977;0.020508;1.950195;
339779;-0.002930;0.016602;1.942383;
339919;-0.000977;0.013672;1.928711;
340054;-0.001953;0.018555;1.920898;
340205;-0.000977;0.013672;1.914062;
340354;0.000000;0.013672;1.890625;
340505;-0.003906;0.014648;1.870117;
340654;-0.003906;0.012695;1.834961;
340799;-0.006836;0.013672;1.810547;
340939;-0.009766;0.014648;1.770508;
341089;-0.011719;0.013672;1.719727;
341229;-0.015625;0.016602;1.695312;
341369;-0.019531;0.013672;1.645508;
341509;-0.019531;0.016602;1.607422;
341649;-0.026367;0.017578;1.562500;
341789;-0.030273;0.015625;1.516602;
341929;-0.031250;0.017578;1.458008;
342069;-0.039062;0.017578;1.412109;
342209;-0.041016;0.017578;1.348633;
342349;-0.042969;0.019531;1.328125;
342489;-0.047852;0.016602;1.292969;
342629;-0.043945;0.016602;1.283203;
342765;-0.048828;0.019531;1.267578;
342914;-0.047852;0.016602;1.250977;
343065;-0.047852;0.025391;1.226562;
343214;-0.050781;0.021484;1.220703;
343364;-0.047852;0.022461;1.227539;
343519;-0.045898;0.024414;1.239258;
343659;-0.042969;0.018555;1.243164;
343799;-0.041016;0.020508;1.260742;
343939;-0.038086;0.020508;1.266602;
344089;-0.041992;0.024414;1.256836;
344239;-0.042969;0.024414;1.240234;
344379;-0.043945;0.026367;1.207031;
344519;-0.046875;0.023438;1.152344;
344669;-0.050781;0.024414;1.088867;
344809;-0.053711;0.027344;1.031250;
344949;-0.060547;0.021484;0.965820;
345099;-0.060547;0.023438;0.931641;
345239;-0.060547;0.020508;0.893555;
345379;-0.063477;0.022461;0.870117;
345514;-0.065430;0.019531;0.835938;
345664;-0.062500;0.021484;0.812500;
345814;-0.066406;0.021484;0.789062;
345955;-0.068359;0.027344;0.762695;
346104;-0.066406;0.025391;0.747070;
346259;-0.069336;0.026367;0.740234;
346409;-0.065430;0.028320;0.745117;
346549;-0.062500;0.024414;0.758789;
346689;-0.065430;0.029297;0.755859;
346829;-0.063477;0.028320;0.768555;
346969;-0.062500;0.025391;0.764648;
347109;-0.061523;0.030273;0.793945;
347249;-0.062500;0.029297;0.806641;
347389;-0.060547;0.029297;0.818359;
347539;-0.060547;0.031250;0.823242;
347679;-0.060547;0.027344;0.825195;
347819;-0.055664;0.029297;0.848633;
347969;-0.053711;0.025391;0.858398;
348109;-0.054688;0.028320;0.867188;
348245;-0.052734;0.026367;0.874023;
348394;-0.054688;0.029297;0.872070;
348534;-0.054688;0.019531;0.874023;
348675;-0.052734;0.021484;0.876953;
348815;-0.054688;0.015625;0.868164;
348964;-0.052734;0.023438;0.860352;
349119;-0.051758;0.018555;0.846680;
349259;-0.054688;0.021484;0.829102;
349399;-0.057617;0.012695;0.817383;
349539;-0.054688;0.018555;0.802734;
349679;-0.056641;0.014648;0.788086;
