Time;Load cell reading [N];Temperature [C];Pressure sensor 1 [bar];Pressure sensor 2 [bar];Distance [mm];

1497;-2000.000000;19.875000;0.021250;3.842084;204;

1645;-2000.000000;19.875000;0.021250;3.842084;206;

1782;-2000.000000;19.875000;0.021667;3.842084;203;

1925;-2000.000000;19.875000;0.021667;3.842084;203;

2062;-2000.000000;19.875000;0.021667;3.842084;206;

2205;-2000.000000;19.875000;0.021250;3.842084;201;

2342;-2000.000000;19.875000;0.021250;3.841667;203;

2485;-2000.000000;19.875000;0.021667;3.842084;208;

2625;-2000.000000;19.875000;0.021667;3.842084;204;

2762;-2000.000000;19.875000;0.021250;3.841667;202;

2905;-2000.000000;19.875000;0.021250;3.842084;205;

3042;-2000.000000;19.875000;0.021667;3.841667;205;

3185;-2000.000000;19.875000;0.021250;3.841667;201;

3322;-2000.000000;19.875000;0.021667;3.836667;205;

3465;-2000.000000;19.875000;0.021250;3.836667;202;

3602;-2000.000000;19.875000;0.021250;3.836667;204;

3745;-2000.000000;19.875000;0.021250;3.836667;201;

3899;-2000.000000;19.875000;0.021667;3.836667;206;

4080;-2000.000000;19.875000;0.021667;3.836667;202;

4228;-2000.000000;19.875000;0.021250;3.836667;206;

4375;-2000.000000;19.875000;0.021250;3.836667;205;

4513;-2000.000000;19.875000;0.021250;3.836667;202;

4655;-2000.000000;19.875000;0.021667;3.836667;204;

4793;-2000.000000;19.875000;0.021667;3.837084;204;

4935;-2000.000000;19.812500;0.021667;3.836667;206;

5072;-2000.000000;19.875000;0.021250;3.836667;204;

5216;-2000.000000;19.875000;0.021667;3.836667;206;

5379;-2000.000000;19.875000;0.021667;3.836667;203;

5518;-2000.000000;19.875000;0.021250;3.836667;203;

5665;-2000.000000;19.812500;0.021667;3.832917;200;

5806;-2000.000000;19.812500;0.021667;3.832083;205;

5970;-2000.000000;19.875000;0.021667;3.831667;205;

6137;-2000.000000;19.812500;0.021667;3.836667;206;

6342;-22.666626;19.875000;0.021667;3.836667;205;

6498;-22.666626;19.812500;0.021250;3.836250;211;

6645;-22.666626;19.875000;0.021250;3.834583;204;

6792;-22.666626;19.812500;0.021250;3.834583;206;

6935;-21.333374;19.812500;0.021667;3.831667;202;

7075;-29.333374;19.812500;0.021250;3.831250;202;

7246;-21.333374;19.812500;0.021667;3.831667;202;

7398;-26.666626;19.812500;0.021667;3.831667;204;

7543;-29.333374;19.812500;0.021667;3.831667;205;

7686;-25.333374;19.812500;0.021250;3.831667;204;

7840;-25.333374;19.812500;0.021667;3.831250;205;

7978;-22.666626;19.812500;0.021250;3.831250;202;

8125;-25.333374;19.812500;0.021667;3.831667;208;

8265;-25.333374;19.812500;0.021667;3.831667;201;

8428;-22.666626;19.812500;0.021667;3.831667;203;

8599;-30.666626;19.812500;0.021667;3.831667;202;

8773;-21.333374;19.812500;0.021667;3.831667;208;

8925;-22.666626;19.812500;0.021667;3.831667;204;

9076;-22.666626;19.812500;0.021667;3.831667;206;

9215;-22.666626;19.812500;0.021250;3.831250;208;

9355;-21.333374;19.812500;0.021667;3.831250;202;

9492;-22.666626;19.812500;0.021667;3.831667;205;

9658;-25.333374;19.812500;0.021667;3.831250;202;

9805;-22.666626;19.812500;0.021667;3.831667;203;
