datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-07_11-13-29.916366;483823;-134.666626;22.375;0.023333;4.022917;65535.0;0.092773;0.027344;1.517578;-60000;-60000;122313;0;0;0
2024-11-07_11-13-30.041571;483823;-134.666626;22.375;0.023333;4.022917;65535.0;0.092773;0.027344;1.517578;-60000;-60000;122413;0;0;0
2024-11-07_11-13-30.151634;484050;-142.666626;22.375;0.03125;4.022917;65535.0;0.09375;0.017578;1.542969;-60000;-60000;122554;0;0;0
2024-11-07_11-13-30.323651;484050;-142.666626;22.375;0.03125;4.022917;65535.0;0.09375;0.017578;1.542969;-60000;-60000;122714;0;0;0
2024-11-07_11-13-30.449646;484272;-142.666626;22.375;0.053333;4.0225;65535.0;0.086914;0.023438;1.515625;-60000;-60000;122853;0;0;0
2024-11-07_11-13-30.809602;484483;-144.0;22.375;4.040417;4.03;65535.0;0.092773;0.030273;1.625;-60000;-60000;123180;0;0;0
2024-11-07_11-13-30.966271;484709;-161.333374;22.375;0.090833;4.05125;65535.0;0.09375;0.027344;1.681641;-60000;-60000;123338;0;0;0
2024-11-07_11-13-31.107192;484922;-153.333374;22.375;0.087917;4.05;65535.0;0.112305;0.013672;1.711914;-60000;-60000;123493;0;0;0
2024-11-07_11-13-31.247926;485142;-161.333374;22.375;0.1;4.062917;65535.0;0.100586;0.018555;1.728516;-60000;-60000;123643;0;0;0
2024-11-07_11-13-31.420454;485142;-161.333374;22.375;0.1;4.062917;65535.0;0.100586;0.018555;1.728516;20000;20000;123803;1;0;0
2024-11-07_11-13-31.561026;485358;-161.333374;22.375;0.469167;4.24375;65535.0;0.111328;0.017578;1.765625;20000;20000;123963;1;0;0
2024-11-07_11-13-31.717279;485572;-177.333374;22.375;0.408333;4.257084;65535.0;0.113281;0.020508;1.770508;20000;20000;124104;0;0;0
2024-11-07_11-13-31.889298;485781;-174.666626;22.375;0.12625;4.028333;65535.0;0.111328;0.025391;1.820312;69000;69000;15;0;0;0
2024-11-07_11-13-32.061420;485781;-174.666626;22.375;0.12625;4.028333;65535.0;0.111328;0.025391;1.820312;69000;69000;155;0;0;0
2024-11-07_11-13-32.218740;485988;-177.333374;22.375;0.045833;4.022917;65535.0;0.112305;0.024414;1.833984;69000;69000;324;0;0;0
2024-11-07_11-13-32.437629;486199;-189.333374;22.375;0.059583;4.023333;65535.0;0.116211;0.022461;1.841797;0;0;559;0;0;0
2024-11-07_11-13-32.547048;486411;-197.333374;22.375;0.106667;4.018333;65535.0;0.114258;0.022461;1.813477;0;0;663;0;0;0
2024-11-07_11-13-32.672045;486411;-197.333374;22.375;0.106667;4.018333;65535.0;0.114258;0.022461;1.813477;0;0;783;0;0;0
2024-11-07_11-13-32.828560;486630;-190.666626;22.375;0.155;4.017917;65535.0;0.116211;0.019531;1.808594;0;0;935;0;0;0
2024-11-07_11-13-32.986410;486854;-177.333374;22.375;0.045417;4.0175;65535.0;0.116211;0.022461;1.805664;0;0;1095;0;0;0
2024-11-07_11-13-33.126630;487059;-188.0;22.375;0.0325;4.0175;65535.0;0.114258;0.027344;1.806641;0;0;1255;0;0;0
2024-11-07_11-13-33.360933;487269;-180.0;22.375;0.032917;4.0175;65535.0;0.114258;0.022461;1.80957;0;0;1473;0;0;0
2024-11-07_11-13-33.485938;487269;-180.0;22.375;0.032917;4.0175;65535.0;0.114258;0.022461;1.80957;22666;22666;1593;0;0;0
2024-11-07_11-13-33.705726;487484;-185.333374;22.375;0.077917;4.0175;65535.0;0.116211;0.020508;1.799805;68000;68000;1825;0;0;0
2024-11-07_11-13-33.897209;487688;-190.666626;22.375;0.022083;4.0175;65535.0;0.113281;0.020508;1.827148;68000;68000;2016;0;0;0
2024-11-07_11-13-34.066032;487904;-189.333374;22.375;0.023333;4.0175;65535.0;0.119141;0.021484;1.816406;68000;68000;2176;0;0;0
2024-11-07_11-13-34.222926;488117;-209.333374;22.375;0.078333;4.017084;65535.0;0.116211;0.019531;1.818359;22666;22666;2345;0;0;0
2024-11-07_11-13-34.368737;488117;-209.333374;22.375;0.078333;4.017084;65535.0;0.116211;0.019531;1.818359;-35000;-35000;2486;0;0;0
2024-11-07_11-13-34.519950;488348;-202.666626;22.375;0.78125;4.37625;65535.0;0.117188;0.009766;1.822266;-70000;-70000;2636;0;0;0
2024-11-07_11-13-34.754676;488575;-205.333374;22.375;4.0175;4.017084;65535.0;0.12207;0.005859;1.838867;-70000;-70000;2865;0;0;0
2024-11-07_11-13-34.848462;488575;-205.333374;22.375;4.0175;4.017084;65535.0;0.12207;0.005859;1.838867;-70000;-70000;2956;0;0;0
2024-11-07_11-13-35.004682;488784;-197.333374;22.375;4.021667;4.016667;65535.0;0.12793;0.003906;1.857422;-23333;-23333;3114;0;0;0
2024-11-07_11-13-35.176754;489001;-188.0;22.375;0.169583;4.224167;65535.0;0.125;0.010742;1.837891;29500;29500;3273;0;0;0
2024-11-07_11-13-35.317393;489207;-190.666626;22.375;0.26875;4.014167;65535.0;0.130859;0.021484;1.851562;59000;59000;3425;0;0;0
2024-11-07_11-13-35.473682;489207;-190.666626;22.375;0.26875;4.014167;65535.0;0.130859;0.021484;1.851562;59000;59000;3585;0;0;0
2024-11-07_11-13-35.630011;489418;-190.666626;22.375;0.084167;4.0125;65535.0;0.126953;0.025391;1.858398;59000;59000;3733;0;0;0
2024-11-07_11-13-35.802002;489634;-210.666626;22.375;0.15875;3.805834;65535.0;0.123047;0.027344;1.832031;29500;29500;3903;0;0;0
2024-11-07_11-13-35.942624;489839;-213.333374;22.3125;0.904167;0.805417;65535.0;0.123047;0.024414;1.820312;0;0;4045;0;0;0
2024-11-07_11-13-36.083591;489839;-213.333374;22.3125;0.904167;0.805417;65535.0;0.123047;0.024414;1.820312;0;0;4205;0;0;0
2024-11-07_11-13-36.240825;490048;-193.333374;22.375;0.830833;3.8;65535.0;0.125;0.023438;1.834961;0;0;4354;0;0;0
2024-11-07_11-13-36.412701;490263;-177.333374;22.375;0.895833;3.787917;65535.0;0.125;0.019531;1.818359;0;0;4528;0;2;0
2024-11-07_11-13-36.568995;490483;-168.0;22.375;1.007083;3.76375;65535.0;0.138672;0.022461;1.837891;-26666;-26666;4679;0;0;0
2024-11-07_11-13-36.709893;490483;-168.0;22.375;1.007083;3.76375;65535.0;0.138672;0.022461;1.837891;-66666;-66666;4835;0;0;0
2024-11-07_11-13-36.866474;490702;-174.666626;22.375;1.12625;3.74;65535.0;0.133789;0.021484;1.853516;-80000;-80000;4985;0;0;0
