datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-07_11-32-47.817018;578183;-57.333374;22.75;0.100833;3.394583;169.0;0.163086;0.025391;1.517578;-60000;-60000;153920;0;0;0
2024-11-07_11-32-47.926384;578183;-57.333374;22.75;0.100833;3.394583;169.0;0.163086;0.025391;1.517578;-60000;-60000;154018;0;0;0
2024-11-07_11-32-48.082990;578463;-34.666626;22.8125;3.39125;3.40125;145.0;0.142578;0.023438;1.446289;-60000;-60000;154172;0;0;0
2024-11-07_11-32-48.364878;578743;-18.666626;22.75;0.084167;3.401667;128.0;0.117188;0.022461;1.311523;-60000;-60000;154460;0;0;0
2024-11-07_11-32-48.536791;578885;-8.0;22.75;0.107083;3.412083;118.0;0.098633;0.017578;1.210938;-60000;-60000;154630;0;0;0
2024-11-07_11-32-48.693714;579030;-8.0;22.75;0.1525;3.394583;107.0;0.083008;0.015625;1.116211;-60000;-60000;154790;0;0;0
2024-11-07_11-32-48.850083;579173;-5.333374;22.75;0.157917;3.409583;99.0;0.06543;0.013672;1.03418;-60000;-60000;154961;0;0;0
2024-11-07_11-32-49.007192;579312;-1.333374;22.75;0.09125;3.391667;89.0;0.054688;0.021484;0.879883;20000;20000;155111;1;0;0
2024-11-07_11-32-49.163356;579453;1.333374;22.75;0.722083;3.535833;90.0;0.044922;0.018555;0.794922;20000;20000;155271;1;0;0
2024-11-07_11-32-49.429850;579735;12.0;22.75;0.4275;3.409167;96.0;0.029297;0.021484;0.594727;20000;20000;155530;0;0;0
2024-11-07_11-32-49.601752;579883;17.333374;22.75;0.122917;3.410834;97.0;0.018555;0.029297;0.47168;20000;20000;155701;0;0;0
2024-11-07_11-32-49.789224;580169;34.666626;22.75;0.047083;3.39125;106.0;0.014648;0.033203;0.341797;80000;80000;121;0;0;0
2024-11-07_11-32-49.976727;580308;37.333374;22.75;0.082083;3.39125;115.0;0.016602;0.033203;0.277344;80000;80000;299;0;0;0
2024-11-07_11-32-50.117442;580456;38.666626;22.75;0.05375;3.391667;130.0;0.007812;0.03418;0.191406;80000;80000;441;0;0;0
2024-11-07_11-32-50.273701;580607;45.333374;22.75;0.067917;3.390417;144.0;0.005859;0.036133;0.146484;80000;80000;601;0;0;0
2024-11-07_11-32-50.508072;580893;41.333374;22.75;3.389167;3.390417;170.0;0.006836;0.042969;0.084961;0;0;841;0;0;0
2024-11-07_11-32-50.632981;580893;41.333374;22.75;3.389167;3.390417;170.0;0.006836;0.042969;0.084961;0;0;961;0;0;0
2024-11-07_11-32-50.742675;581037;45.333374;22.75;0.837917;3.43125;169.0;0.005859;0.042969;0.057617;0;0;1071;0;0;0
2024-11-07_11-32-50.883337;581170;46.666626;22.75;0.13625;3.389584;170.0;0.006836;0.041016;0.03125;0;0;1211;0;0;0
2024-11-07_11-32-51.055177;581305;48.0;22.75;0.096667;3.3975;169.0;0.001953;0.039062;0.027344;11333;11333;1381;0;0;0
2024-11-07_11-32-51.258444;581603;46.666626;22.8125;0.067917;3.385834;179.0;0.0;0.042969;0.013672;34000;34000;1578;0;0;0
2024-11-07_11-32-51.414692;581741;46.666626;22.75;0.028333;3.385834;180.0;0.003906;0.038086;0.015625;56666;56666;1729;0;0;0
2024-11-07_11-32-51.524341;581883;49.333252;22.75;0.021667;3.385834;190.0;0.001953;0.039062;0.007812;68000;68000;1851;0;0;0
2024-11-07_11-32-51.774308;582025;49.333252;22.75;0.029167;3.385834;204.0;-0.000977;0.039062;0.003906;68000;68000;2100;0;0;0
2024-11-07_11-32-51.868283;582168;46.666626;22.75;0.036667;3.38625;214.0;0.004883;0.037109;-0.00293;56666;56666;2191;0;0;0
2024-11-07_11-32-51.993316;582313;37.333374;22.75;0.09125;3.410417;226.0;-0.001953;0.035156;-0.015625;11333;11333;2321;0;0;0
2024-11-07_11-32-52.227658;582593;21.333374;22.75;0.327917;3.435;224.0;-0.00293;0.03418;-0.008789;-46666;-46666;2553;0;0;0
2024-11-07_11-32-52.305784;582593;21.333374;22.75;0.327917;3.435;224.0;-0.00293;0.03418;-0.008789;-70000;-70000;2634;0;0;0
2024-11-07_11-32-52.665326;583023;60.0;22.75;0.059167;3.385834;190.0;-0.00293;0.039062;0.001953;-70000;-70000;2997;0;0;0
2024-11-07_11-32-52.790909;583160;65.333252;22.75;0.048333;3.410417;178.0;-0.007812;0.036133;-0.009766;-35000;-35000;3110;0;0;0
2024-11-07_11-32-52.932127;583160;65.333252;22.75;0.048333;3.410417;178.0;-0.007812;0.036133;-0.009766;19666;19666;3252;0;0;0
2024-11-07_11-32-53.072839;583451;50.666748;22.75;0.106667;3.392917;185.0;-0.00293;0.037109;0.010742;59000;59000;3410;0;0;0
2024-11-07_11-32-53.261491;583596;49.333252;22.75;0.054583;3.385834;193.0;-0.007812;0.039062;-0.003906;59000;59000;3590;0;0;0
2024-11-07_11-32-53.386820;583747;46.666626;22.75;0.092917;3.385834;199.0;-0.008789;0.040039;-0.005859;59000;59000;3721;0;0;0
2024-11-07_11-32-53.558890;583890;50.666748;22.75;0.23375;3.2475;208.0;-0.003906;0.040039;-0.003906;49166;49166;3892;0;0;0
2024-11-07_11-32-53.699542;584023;45.333374;22.75;0.587917;3.252917;221.0;-0.006836;0.038086;0.001953;29500;29500;4030;0;0;0
2024-11-07_11-32-53.872270;584180;34.666626;22.75;0.862083;3.2725;226.0;-0.001953;0.033203;0.001953;9833;9833;4211;0;0;0
2024-11-07_11-32-54.028671;584319;21.333374;22.75;0.901667;3.409167;227.0;-0.003906;0.037109;0.0;0;0;4351;0;0;0
2024-11-07_11-32-54.216100;584466;30.666626;22.75;0.686667;3.236667;228.0;-0.008789;0.03418;-0.016602;0;0;4540;0;0;0
2024-11-07_11-32-54.325500;584601;30.666626;22.75;0.720833;3.220417;232.0;-0.005859;0.033203;0.00293;0;0;4661;0;0;0
2024-11-07_11-32-54.481726;584746;30.666626;22.75;0.740417;3.227083;226.0;-0.008789;0.033203;-0.007812;-26666;-26666;4814;0;0;0
2024-11-07_11-32-54.653915;584897;28.0;22.75;0.823333;3.209584;228.0;-0.009766;0.032227;-0.010742;-80000;-80000;4971;0;0;0
2024-11-07_11-32-54.794540;585178;65.333252;22.75;0.79375;3.204167;201.0;-0.009766;0.035156;-0.004883;-80000;-80000;5131;0;0;0
2024-11-07_11-32-54.966452;585319;85.333252;22.75;0.804583;3.204583;192.0;-0.009766;0.033203;-0.005859;-80000;-80000;5291;0;0;0
2024-11-07_11-32-55.123095;585465;118.666748;22.75;0.815417;3.19875;173.0;-0.012695;0.03418;-0.003906;-80000;-80000;5451;0;0;0
2024-11-07_11-32-55.264492;585615;146.666748;22.75;0.84125;3.2025;163.0;-0.008789;0.037109;-0.000977;-80000;-80000;5601;0;0;0
2024-11-07_11-32-55.437057;585763;157.333252;22.75;0.844167;3.202917;149.0;-0.010742;0.036133;-0.005859;-60000;-60000;5757;0;0;0
2024-11-07_11-32-55.624626;585901;117.333252;22.75;0.86375;3.2075;139.0;-0.010742;0.03418;0.000977;-60000;-60000;5957;0;0;0
2024-11-07_11-32-55.734358;586043;88.0;22.75;0.86375;0.807083;127.0;-0.012695;0.03418;-0.009766;-60000;-60000;6059;0;0;0
2024-11-07_11-32-55.891024;586170;68.0;22.75;0.72875;3.198334;116.0;-0.005859;0.03418;0.004883;-60000;-60000;6229;0;0;0
2024-11-07_11-32-56.062864;586312;68.0;22.75;0.6475;3.202084;109.0;-0.010742;0.030273;0.00293;-60000;-60000;6389;0;0;0
2024-11-07_11-32-56.219139;586592;57.333252;22.75;3.19875;3.199167;89.0;-0.013672;0.036133;-0.008789;20000;20000;6541;1;0;0
2024-11-07_11-32-56.359744;586723;46.666626;22.75;0.910833;3.576667;92.0;-0.013672;0.032227;0.001953;20000;20000;6701;0;0;0
2024-11-07_11-32-56.516013;586861;48.0;22.75;0.4325;3.205417;92.0;-0.011719;0.03125;0.019531;20000;20000;6840;0;0;0
2024-11-07_11-32-56.672242;587003;50.666748;22.75;0.27625;3.214583;97.0;-0.010742;0.030273;0.025391;20000;20000;7010;0;0;0
2024-11-07_11-32-56.829028;587149;49.333252;22.75;0.134583;3.202084;95.0;-0.011719;0.032227;0.018555;20000;20000;7160;0;0;0
2024-11-07_11-32-56.985230;587294;49.333252;22.75;0.094583;3.204167;93.0;-0.015625;0.030273;0.02832;20000;20000;7321;0;0;0
2024-11-07_11-32-57.157105;587443;49.333252;22.75;3.20375;3.204167;95.0;-0.012695;0.030273;0.03125;20000;20000;7483;0;0;0
2024-11-07_11-32-57.313560;587578;50.666748;22.75;0.022917;3.204167;95.0;-0.013672;0.030273;0.044922;20000;20000;7654;0;0;0
2024-11-07_11-32-57.469812;587725;50.666748;22.75;0.02125;3.204167;92.0;-0.011719;0.029297;0.038086;80000;80000;71;0;0;0
2024-11-07_11-32-57.627412;588001;50.666748;22.75;0.058333;3.205;113.0;-0.015625;0.026367;0.040039;80000;80000;231;0;0;0
