datetime;time;load_cell;board_temperature;pressure_macki;pressure_tank;distance;acc_x;acc_y;acc_z;motor1_speed;motor2_speed;procedure_time;mechanical_state;motor1_temperature;motor2_temperature
2024-11-07_09-27-28.174309;24645;-2000.0;16.875;0.02125;0.145833;168.0;0.026367;0.037109;1.021484;0;0;24750;0;0;0
2024-11-07_09-27-28.346184;24786;-2000.0;16.875;0.145417;0.145833;168.0;0.02832;0.03418;1.021484;0;0;24921;0;0;0
2024-11-07_09-27-28.486808;24928;-2000.0;16.875;0.02125;0.140417;166.0;0.026367;0.035156;1.011719;0;0;25060;0;0;0
2024-11-07_09-27-28.643058;25075;-2000.0;16.875;0.02125;0.14;168.0;0.025391;0.035156;1.021484;0;0;25209;0;0;0
2024-11-07_09-27-28.924308;25364;-2000.0;16.875;0.02125;0.1425;168.0;0.027344;0.040039;1.024414;0;0;25502;0;0;0
2024-11-07_09-27-29.439933;25795;-2000.0;16.875;0.02125;0.140417;169.0;0.030273;0.035156;1.026367;0;0;26013;0;0;0
2024-11-07_09-27-29.580558;25933;-2000.0;16.875;0.02125;0.140417;168.0;0.027344;0.040039;1.018555;0;0;26160;0;0;0
2024-11-07_09-27-29.783684;26225;-2000.0;16.875;0.02125;0.140417;169.0;0.025391;0.037109;1.026367;0;0;26369;0;0;0
2024-11-07_09-27-29.955559;26365;-2000.0;16.875;0.02125;0.140417;167.0;0.02832;0.037109;1.020508;0;0;26529;0;0;0
2024-11-07_09-27-30.049309;26505;-2000.0;16.875;0.02125;0.140417;167.0;0.02832;0.037109;1.018555;0;0;26630;0;0;0
2024-11-07_09-27-30.205558;26650;-2000.0;16.875;0.02125;0.145833;168.0;0.026367;0.03418;1.025391;0;0;26780;0;0;0
2024-11-07_09-27-30.502433;26947;-2000.0;16.875;0.02125;0.140417;168.0;0.026367;0.038086;1.026367;0;0;27067;0;0;0
2024-11-07_09-27-30.674309;27090;-2000.0;16.875;0.02125;0.14;168.0;0.025391;0.036133;1.019531;0;0;27247;0;0;0
2024-11-07_09-27-30.830957;27222;-2000.0;16.875;0.02125;0.145833;167.0;0.025391;0.03418;1.023438;0;0;27410;0;0;0
2024-11-07_09-27-30.987207;27352;-2000.0;16.875;0.02125;0.145417;168.0;0.02832;0.036133;1.032227;0;0;27560;0;0;0
2024-11-07_09-27-31.143456;27496;-2000.0;16.875;0.02125;0.140417;167.0;0.02832;0.041016;1.018555;0;0;27728;0;0;0
2024-11-07_09-27-31.299707;27656;-2000.0;16.875;0.02125;0.145833;168.0;0.026367;0.040039;1.02832;0;0;27876;0;0;0
2024-11-07_09-27-31.455955;27809;-2000.0;16.875;0.02125;0.145833;169.0;0.02832;0.035156;1.023438;0;0;28030;0;0;0
2024-11-07_09-27-31.612207;28105;-2000.0;16.875;0.02125;0.145833;167.0;0.026367;0.036133;1.010742;0;0;28190;0;0;0
2024-11-07_09-27-31.862206;28242;-2000.0;16.875;0.02125;0.140417;169.0;0.027344;0.036133;1.019531;0;0;28436;0;0;0
2024-11-07_09-27-31.940331;28385;-2000.0;16.875;0.02125;0.145833;166.0;0.02832;0.035156;1.029297;0;0;28504;0;0;0
2024-11-07_09-27-32.127831;28526;-2000.0;16.875;0.02125;0.145833;168.0;0.025391;0.040039;1.025391;0;0;28681;0;0;0
2024-11-07_09-27-32.237207;28666;-2000.0;16.875;0.021667;0.145833;169.0;0.026367;0.040039;1.025391;0;0;28810;0;0;0
2024-11-07_09-27-32.409082;28805;-2000.0;16.875;0.021667;0.145833;168.0;0.025391;0.038086;1.025391;0;0;28990;0;0;0
2024-11-07_09-27-32.549707;28942;-2000.0;16.875;0.02125;0.145833;167.0;0.030273;0.038086;1.025391;0;0;29126;0;0;0
2024-11-07_09-27-32.784081;29223;-2000.0;16.9375;0.140417;0.140833;168.0;0.025391;0.037109;1.010742;0;0;29359;0;0;0
2024-11-07_09-27-32.862208;29223;-2000.0;16.9375;0.140417;0.140833;168.0;0.025391;0.037109;1.010742;0;0;29440;0;0;0
2024-11-07_09-27-33.065331;29502;-2000.0;16.9375;0.021667;0.145833;168.0;0.02832;0.039062;1.026367;0;0;29649;0;0;0
2024-11-07_09-27-33.299705;29795;-2000.0;16.875;0.02125;0.145833;168.0;0.027344;0.038086;1.022461;0;0;29876;0;0;0
2024-11-07_09-27-33.487225;29936;-2000.0;16.9375;0.02125;0.145417;167.0;0.026367;0.037109;1.017578;0;0;30060;0;0;0
2024-11-07_09-27-33.784082;30235;-2000.0;16.875;0.02125;0.145833;168.0;0.026367;0.036133;1.017578;0;0;30349;0;0;0
2024-11-07_09-27-33.940330;30385;-2000.0;16.9375;0.02125;0.145417;171.0;0.026367;0.036133;1.00293;0;0;30521;0;0;0
2024-11-07_09-27-34.112208;30528;-2000.0;16.9375;0.02125;0.145833;163.0;0.029297;0.039062;1.016602;0;0;30700;0;0;0
2024-11-07_09-27-34.409083;30827;-2000.0;16.9375;0.02125;0.140417;169.0;0.026367;0.035156;1.026367;0;0;30991;0;0;0
2024-11-07_09-27-34.627831;30986;-20.0;16.9375;0.02125;0.140417;167.0;0.02832;0.035156;1.020508;0;0;31209;0;0;0
2024-11-07_09-27-34.721582;31135;-21.333374;16.875;0.02125;0.140417;167.0;0.026367;0.038086;1.016602;0;0;31310;0;0;0
2024-11-07_09-27-34.893457;31278;-22.666626;16.875;0.02125;0.140417;168.0;0.026367;0.041016;1.018555;0;0;31470;0;0;0
2024-11-07_09-27-35.034082;31420;-25.333374;16.9375;0.02125;0.145833;170.0;0.025391;0.035156;1.020508;0;0;31613;0;0;0
2024-11-07_09-27-35.284084;31695;-20.0;16.9375;0.02125;0.14125;166.0;0.027344;0.037109;1.021484;0;0;31870;0;0;0
2024-11-07_09-27-35.455955;31835;-22.666626;16.9375;0.02125;0.140417;168.0;0.024414;0.036133;1.016602;0;0;32027;0;0;0
2024-11-07_09-27-35.612206;32115;-26.666626;16.9375;0.02125;0.144583;166.0;0.027344;0.038086;1.018555;0;0;32199;0;0;0
2024-11-07_09-27-35.674706;32115;-26.666626;16.9375;0.02125;0.144583;166.0;0.027344;0.038086;1.018555;0;0;32251;0;0;0
2024-11-07_09-27-35.830956;32255;-22.666626;16.9375;0.02125;0.140417;170.0;0.024414;0.038086;1.020508;0;0;32410;0;0;0
2024-11-07_09-27-35.971582;32395;-21.333374;16.9375;0.02125;0.14125;168.0;0.025391;0.037109;1.019531;0;0;32559;0;0;0
2024-11-07_09-27-36.205956;32675;-20.0;16.9375;0.02125;0.140417;169.0;0.027344;0.041016;1.025391;0;0;32790;0;0;0
2024-11-07_09-27-36.393455;32816;-22.666626;16.9375;0.144167;0.14375;167.0;0.029297;0.03418;1.013672;0;0;32964;0;0;0
2024-11-07_09-27-36.440332;32945;-20.0;16.9375;0.02125;0.140833;167.0;0.025391;0.041016;1.024414;0;0;33023;0;0;0
2024-11-07_09-27-36.627829;33082;-25.333374;16.9375;0.02125;0.141667;169.0;0.027344;0.036133;1.02832;0;0;33208;0;0;0
2024-11-07_09-27-36.846581;33219;-22.666626;16.9375;0.021667;0.14;166.0;0.023438;0.03418;1.015625;0;0;33429;0;0;0
2024-11-07_09-27-36.924706;33370;-20.0;16.9375;0.02125;0.140417;169.0;0.025391;0.037109;1.018555;0;0;33500;0;0;0
2024-11-07_09-27-37.080957;33521;-25.333374;16.9375;0.02125;0.1425;167.0;0.026367;0.036133;1.023438;0;0;33655;0;0;0
2024-11-07_09-27-37.221582;33675;-21.333374;16.9375;0.02125;0.140417;167.0;0.02832;0.041992;1.027344;0;0;33810;0;0;0
2024-11-07_09-27-37.440331;33823;-29.333374;16.9375;0.140417;0.14125;169.0;0.026367;0.037109;1.016602;0;0;34015;0;0;0
2024-11-07_09-27-37.534082;33967;-25.333374;16.9375;0.021667;0.140417;169.0;0.027344;0.036133;1.023438;0;0;34120;0;0;0
2024-11-07_09-27-37.705955;34105;-20.0;16.9375;0.02125;0.140417;171.0;0.02832;0.039062;1.026367;0;0;34282;0;0;0
2024-11-07_09-27-37.862206;34248;-25.333374;16.9375;0.02125;0.140417;165.0;0.02832;0.041016;1.02832;0;0;34440;0;0;0
2024-11-07_09-27-38.018455;34399;-22.666626;16.9375;0.02125;0.140833;169.0;0.024414;0.035156;1.008789;0;0;34591;0;0;0
2024-11-07_09-27-38.174706;34545;-22.666626;16.9375;0.02125;0.14125;169.0;0.027344;0.040039;1.021484;0;0;34750;0;0;0
2024-11-07_09-27-38.409081;34823;-25.333374;16.9375;0.021667;0.140417;169.0;0.029297;0.039062;1.035156;0;0;34999;0;0;0
2024-11-07_09-27-38.487207;34965;-21.333374;16.9375;0.02125;0.140417;168.0;0.027344;0.037109;1.026367;0;0;35070;0;0;0
2024-11-07_09-27-38.643455;35106;-17.333374;16.9375;0.02125;0.140417;168.0;0.027344;0.039062;1.024414;0;0;35229;0;0;0
2024-11-07_09-27-38.846591;35255;-21.333374;16.9375;0.02125;0.145;168.0;0.029297;0.040039;1.03125;0;0;35408;0;0;0
2024-11-07_09-27-39.034194;35395;-22.666626;16.9375;0.02125;0.141667;167.0;0.02832;0.036133;1.022461;0;0;35576;0;0;0
2024-11-07_09-27-39.097348;35535;-25.333374;16.9375;0.021667;0.145;167.0;0.025391;0.040039;1.023438;0;0;35683;0;0;0
2024-11-07_09-27-39.284238;35676;-22.666626;16.9375;0.02125;0.145833;166.0;0.026367;0.036133;1.014648;0;0;35860;0;0;0
2024-11-07_09-27-39.424970;35822;-21.333374;16.9375;0.02125;0.141667;167.0;0.027344;0.041992;1.022461;0;0;36000;0;0;0
2024-11-07_09-27-39.706711;36108;-21.333374;16.9375;0.02125;0.14375;168.0;0.026367;0.040039;1.020508;0;0;36280;0;0;0
2024-11-07_09-27-39.894208;36261;-22.666626;16.9375;0.021667;0.140417;171.0;0.027344;0.039062;1.018555;0;0;36470;0;0;0
2024-11-07_09-27-40.068558;36412;-22.666626;16.9375;0.02125;0.140417;170.0;0.024414;0.03418;1.014648;0;0;36634;0;0;0
2024-11-07_09-27-40.254124;36702;-25.333374;16.9375;0.021667;0.145;168.0;0.025391;0.040039;1.021484;0;0;36810;0;0;0
2024-11-07_09-27-40.472861;36843;-18.666626;16.9375;0.02125;0.145833;167.0;0.02832;0.039062;1.020508;0;0;37038;0;0;0
2024-11-07_09-27-40.519638;36988;-22.666626;16.9375;0.02125;0.140417;166.0;0.027344;0.037109;1.016602;0;0;37100;0;0;0
2024-11-07_09-27-40.707249;37139;-22.666626;16.9375;0.02125;0.140417;167.0;0.024414;0.039062;1.024414;0;0;37267;0;0;0
2024-11-07_09-27-40.832158;37283;-22.666626;16.9375;0.02125;0.140417;166.0;0.027344;0.038086;1.021484;0;0;37410;0;0;0
2024-11-07_09-27-40.973343;37412;-22.666626;16.9375;0.02125;0.142917;171.0;0.027344;0.037109;1.027344;0;0;37550;0;0;0
2024-11-07_09-27-41.207736;37705;-22.666626;16.9375;0.021667;0.140417;166.0;0.02832;0.040039;1.027344;0;0;37790;0;0;0
2024-11-07_09-27-41.301787;37705;-22.666626;16.9375;0.021667;0.140417;166.0;0.02832;0.040039;1.027344;0;0;37880;0;0;0
2024-11-07_09-27-41.458145;37849;-17.333374;17.0;0.02125;0.140417;170.0;0.027344;0.03125;1.015625;0;0;38030;0;0;0
